match,market,selection,odds,model_prob,implied_prob,edge,result,pnl,league,tier,date
Dender vs St. Gilloise,O/U,Under 2.5,2.44,0.5071499783181233,0.4098360655737705,0.09731391274435275,W,14.399999999999999,Jupiler Pro League,1,2024-07-27
Anderlecht vs St Truiden,O/U,Under 2.5,2.22,0.5065047872299154,0.4504504504504504,0.05605433677946503,W,12.200000000000003,Jupiler Pro League,1,2024-07-27
Charleroi vs Antwerp,O/U,Under 2.5,2.13,0.5579548137402486,0.4694835680751174,0.0884712456651312,W,11.299999999999999,Jupiler Pro League,1,2024-07-28
Charleroi vs Antwerp,1X2,Home,3.11,0.4902492993512705,0.3215434083601286,0.16870589099114186,L,-10.0,Jupiler Pro League,1,2024-07-28
Westerlo vs Cercle Brugge,O/U,Under 2.5,2.31,0.4995869852051935,0.4329004329004329,0.06668655230476062,L,-10.0,Jupiler Pro League,1,2024-07-28
Genk vs Standard,O/U,Under 2.5,2.37,0.49575919964192794,0.42194092827004215,0.07381827137188579,W,13.700000000000001,Jupiler Pro League,1,2024-07-28
FC Koln vs Hamburg,O/U,Under 2.5,2.37,0.5188733603510067,0.42194092827004215,0.09693243208096458,L,-10.0,2. Bundesliga,2,2024-08-02
Oud-Heverlee Leuven vs Genk,O/U,Under 2.5,2.21,0.5544526031345214,0.45248868778280543,0.10196391535171595,L,-10.0,Jupiler Pro League,1,2024-08-03
Oud-Heverlee Leuven vs Genk,1X2,Home,3.32,0.5238997556139693,0.30120481927710846,0.22269493633686083,W,23.2,Jupiler Pro League,1,2024-08-03
Karlsruhe vs Nurnberg,1X2,Home,1.95,0.649410776951207,0.5128205128205129,0.13659026413069408,W,9.5,2. Bundesliga,2,2024-08-03
Mechelen vs Westerlo,1X2,Home,1.9,0.586255006056067,0.5263157894736842,0.05993921658238277,L,-10.0,Jupiler Pro League,1,2024-08-03
Darmstadt vs Fortuna Dusseldorf,1X2,Away,2.4,0.6012625035087933,0.4166666666666667,0.1845958368421266,W,14.0,2. Bundesliga,2,2024-08-04
Cercle Brugge vs Kortrijk,O/U,Under 2.5,2.18,0.5121915154445168,0.4587155963302752,0.0534759191142416,L,-10.0,Jupiler Pro League,1,2024-08-04
Chesterfield vs Swindon,O/U,Under 2.5,2.37,0.5019168732271768,0.42194092827004215,0.07997594495713467,W,13.700000000000001,League Two,4,2024-08-09
Groningen vs NAC Breda,O/U,Under 2.5,2.27,0.5081759758504945,0.44052863436123346,0.06764734148926099,L,-10.0,Eredivisie,1,2024-08-09
Preston vs Sheffield United,1X2,Home,3.16,0.538196980451312,0.3164556962025316,0.22174128424878042,L,-10.0,Championship,2,2024-08-09
Barnsley vs Mansfield,1X2,Away,3.38,0.4150481567041989,0.2958579881656805,0.11919016853851844,W,23.799999999999997,League One,3,2024-08-09
Standard vs Mechelen,O/U,Under 2.5,2.05,0.5424424970612042,0.48780487804878053,0.054637619012423644,W,10.499999999999998,Jupiler Pro League,1,2024-08-09
Leeds vs Portsmouth,O/U,Under 2.5,2.32,0.5351070551661581,0.4310344827586207,0.10407257240753737,L,-10.0,Championship,2,2024-08-10
Stoke vs Coventry,1X2,Home,2.47,0.4881254989799907,0.4048582995951417,0.083267199384849,W,14.700000000000003,Championship,2,2024-08-10
Nurnberg vs Schalke 04,O/U,Under 2.5,2.35,0.4945142961456156,0.425531914893617,0.06898238125199857,L,-10.0,2. Bundesliga,2,2024-08-10
Elversberg vs FC Koln,O/U,Under 2.5,2.23,0.5209262387604812,0.4484304932735426,0.07249574548693855,L,-10.0,2. Bundesliga,2,2024-08-10
Elversberg vs FC Koln,1X2,Home,3.31,0.4207499573196114,0.3021148036253776,0.11863515369423377,L,-10.0,2. Bundesliga,2,2024-08-10
Fortuna Dusseldorf vs Karlsruhe,O/U,Under 2.5,2.47,0.48263644034642217,0.4048582995951417,0.07777814075128048,W,14.700000000000003,2. Bundesliga,2,2024-08-10
