date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2024-01-01,WTA,WTA250,Hard,1st Round,pB,1.39,0.980828580353409,0.7194244604316548,0.2614041199217543,1,3.899999999999999
2024-01-01,WTA,WTA250,Hard,1st Round,pA,2.24,0.9810792565345764,0.4464285714285714,0.534650685106005,1,12.400000000000002
2024-01-01,WTA,WTA250,Hard,1st Round,pB,1.28,0.9686293893493712,0.78125,0.18737938934937115,1,2.8000000000000003
2024-01-01,WTA,WTA250,Hard,1st Round,pB,2.59,0.967751881852746,0.3861003861003861,0.5816514957523599,1,15.899999999999999
2024-01-01,WTA,WTA250,Hard,1st Round,pA,2.04,0.5424660563468933,0.49019607843137253,0.05226997791552074,1,10.4
2024-01-02,WTA,WTA250,Hard,1st Round,pA,1.67,0.9823549270629883,0.5988023952095809,0.38355253185340743,1,6.699999999999999
2024-01-02,WTA,WTA250,Hard,1st Round,pB,1.63,0.9888285801745951,0.6134969325153374,0.37533164765925764,1,6.299999999999999
2024-01-02,WTA,WTA250,Hard,1st Round,pB,2.02,0.9940258017741144,0.49504950495049505,0.4989762968236193,1,10.2
2024-01-02,WTA,WTA250,Hard,1st Round,pB,1.66,0.9809970322996378,0.6024096385542169,0.37858739374542083,1,6.6
2024-01-02,WTA,WTA250,Hard,1st Round,pB,1.98,0.5740052223205566,0.5050505050505051,0.06895471727005154,0,-10.0
2024-01-02,WTA,WTA250,Hard,2nd Round,pA,2.1,0.7703675866127014,0.47619047619047616,0.2941771104222253,1,11.0
2024-01-03,WTA,WTA250,Hard,2nd Round,pA,1.61,0.783925187587738,0.6211180124223602,0.1628071751653778,1,6.100000000000001
2024-01-03,WTA,WTA250,Hard,2nd Round,pA,3.17,0.5966898798942566,0.31545741324921134,0.28123246664504525,1,21.7
2024-01-03,WTA,WTA250,Hard,2nd Round,pB,1.7,0.7564371317625046,0.5882352941176471,0.16820183764485752,1,7.0
2024-01-04,WTA,WTA250,Hard,2nd Round,pB,1.7,0.8207553297281265,0.5882352941176471,0.2325200356104794,1,7.0
2024-01-04,WTA,WTA250,Hard,2nd Round,pA,1.46,0.8436447978019714,0.684931506849315,0.1587132909526564,1,4.6
2024-01-04,WTA,WTA250,Hard,Quarterfinals,pA,1.77,0.9384558081626893,0.5649717514124294,0.37348405675025986,1,7.7
2024-01-05,WTA,WTA250,Hard,Quarterfinals,pA,1.42,0.9781595468521118,0.7042253521126761,0.2739341947394357,1,4.199999999999999
2024-01-05,WTA,WTA250,Hard,Quarterfinals,pA,1.88,0.7337809443473816,0.5319148936170213,0.20186605073036035,1,8.799999999999999
2024-01-08,WTA,WTA250,Hard,1st Round,pA,2.07,0.9781595468521118,0.48309178743961356,0.49506775941249825,1,10.7
2024-01-08,WTA,WTA250,Hard,1st Round,pB,2.32,0.9893746390007436,0.4310344827586207,0.5583401562421229,1,13.2
2024-01-08,WTA,WTA250,Hard,1st Round,pB,2.26,0.996823004540056,0.4424778761061947,0.5543451284338613,1,12.599999999999998
2024-01-08,WTA,WTA250,Hard,1st Round,pA,2.11,0.9181221127510071,0.47393364928909953,0.44418846346190755,1,11.099999999999998
2024-01-08,WTA,WTA250,Hard,1st Round,pB,1.81,0.9893746390007436,0.5524861878453039,0.4368884511554397,1,8.100000000000001
2024-01-08,WTA,WTA250,Hard,1st Round,pA,1.68,0.9823549270629883,0.5952380952380952,0.3871168318248931,1,6.799999999999999
2024-01-09,WTA,WTA250,Hard,1st Round,pA,1.55,0.9823549270629883,0.6451612903225806,0.3371936367404077,1,5.5
2024-01-09,WTA,WTA250,Hard,1st Round,pB,2.1,0.965773718804121,0.47619047619047616,0.48958324261364483,1,11.0
2024-01-09,WTA,WTA250,Hard,1st Round,pA,1.43,0.9823549270629883,0.6993006993006994,0.28305422776228895,1,4.299999999999999
2024-01-09,WTA,WTA250,Hard,1st Round,pB,1.55,0.996823004540056,0.6451612903225806,0.3516617142174754,1,5.5
2024-01-09,WTA,WTA250,Hard,1st Round,pB,1.86,0.9934797429479658,0.5376344086021505,0.4558453343458153,1,8.600000000000001
2024-01-09,WTA,WTA250,Hard,1st Round,pB,2.47,0.9433262713253499,0.4048582995951417,0.5384679717302081,1,14.700000000000003
2024-01-09,WTA,WTA250,Hard,1st Round,pA,1.33,0.979439914226532,0.7518796992481203,0.22756021497841172,1,3.3000000000000007
2024-01-09,WTA,WTA250,Hard,1st Round,pB,1.51,0.9690188687294722,0.6622516556291391,0.30676721310033306,1,5.1
2024-01-09,WTA,WTA250,Hard,1st Round,pA,1.69,0.9613726377487183,0.591715976331361,0.3696566614173573,1,6.8999999999999995
2024-01-10,WTA,WTA250,Hard,2nd Round,pA,2.12,0.972877311706543,0.4716981132075471,0.501179198498996,1,11.200000000000001
2024-01-10,WTA,WTA250,Hard,2nd Round,pB,1.82,0.6080740690231323,0.5494505494505494,0.05862351957258294,0,-10.0
2024-01-10,WTA,WTA250,Hard,2nd Round,pB,1.55,0.9893746390007436,0.6451612903225806,0.344213348678163,1,5.5
2024-01-11,WTA,WTA250,Hard,Quarterfinals,pA,1.26,0.8715277671813965,0.7936507936507936,0.07787697353060286,1,2.6
2024-01-11,WTA,WTA250,Hard,Quarterfinals,pB,1.79,0.9534073371440173,0.5586592178770949,0.3947481192669223,1,7.9
2024-01-11,WTA,WTA250,Hard,Quarterfinals,pB,2.27,0.6860145121812821,0.44052863436123346,0.2454858778200486,1,12.7
2024-01-12,WTA,WTA250,Hard,Semifinals,pA,3.33,0.3931161165237427,0.3003003003003003,0.09281581622344237,0,-10.0
2024-01-13,WTA,WTA250,Hard,The Final,pA,2.09,0.5304230868816375,0.47846889952153115,0.051954187360106374,1,10.899999999999999
2024-01-29,WTA,WTA250,Hard,1st Round,pA,2.25,0.9781595468521118,0.4444444444444444,0.5337151024076674,1,12.5
2024-01-29,WTA,WTA250,Hard,1st Round,pA,3.34,0.9533830881118774,0.29940119760479045,0.653981890507087,1,23.4
2024-01-29,WTA,WTA250,Hard,1st Round,pA,1.34,0.9816683173179627,0.7462686567164178,0.23539966060154482,1,3.400000000000001
2024-01-29,WTA,WTA250,Hard,1st Round,pA,1.94,0.9781595468521118,0.5154639175257733,0.46269562932633856,1,9.399999999999999
2024-01-30,WTA,WTA250,Hard,1st Round,pA,1.34,0.9866102457046508,0.7462686567164178,0.240341588988233,1,3.400000000000001
2024-01-30,WTA,WTA250,Hard,1st Round,pA,1.68,1.0,0.5952380952380952,0.40476190476190477,1,6.799999999999999
2024-01-30,WTA,WTA250,Hard,1st Round,pA,2.3,0.9943405628204346,0.4347826086956522,0.5595579541247824,1,12.999999999999998
2024-01-30,WTA,WTA250,Hard,1st Round,pB,2.3,0.9959488787688315,0.4347826086956522,0.5611662700731793,1,12.999999999999998
2024-01-31,WTA,WTA250,Hard,2nd Round,pA,2.68,0.9105286478996277,0.3731343283582089,0.5373943195414188,1,16.8
2024-01-31,WTA,WTA250,Hard,2nd Round,pB,1.35,0.996823004540056,0.7407407407407407,0.2560822637993153,1,3.500000000000001
