version,season,total_bets,wins,losses,hit_rate,total_pnl,roi,avg_edge,avg_odds,max_losing_streak
v1,2024-25,5878,1876,4002,0.31915617556992176,-6153.6,-10.468866961551548,0.07828612734279128,3.575319836679143,16
v1,2023-24,5885,1868,4017,0.31741716227697536,-7740.799999999999,-13.15344095157179,0.0762843864040921,3.4611962616822427,28
v2,2024-25,1162,442,720,0.3803786574870912,-294.70000000000005,-2.5361445783132535,0.11845591289929479,2.625989672977625,13
v2,2023-24,1211,433,778,0.35755573905862925,-1232.4,-10.176713459950456,0.11682366274241181,2.6005367464905036,17
v3,2024-25,801,327,474,0.40823970037453183,-807.3,-10.078651685393258,0.0747515856122967,2.2098751560549315,13
v3,2023-24,869,360,509,0.4142692750287687,-688.6999999999999,-7.925201380897582,0.07520055983846505,2.2296547756041423,9
v6,2024-25,821,330,491,0.40194884287454324,-316.30000000000007,-3.8526187576126683,0.08335485769173301,2.406881851400731,8
v6,2023-24,905,351,554,0.3878453038674033,-672.2,-7.427624309392265,0.08491748600717032,2.4116132596685085,13
