date,tour,series,surface,odds,model_prob,edge,won,pnl
2023-01-01,ATP,ATP250,Hard,3.12,0.4481982350697808,0.1276854145569603,0,-10.0
2023-01-02,ATP,ATP250,Hard,2.08,0.610773774882223,0.13000454411299223,1,10.8
2023-01-02,ATP,ATP250,Hard,1.65,0.7194249274452048,0.11336432138459873,1,6.499999999999999
2023-01-02,ATP,ATP250,Hard,1.89,0.5930502872116621,0.0639497581111329,0,-10.0
2023-01-03,ATP,ATP250,Hard,1.58,0.7538430322635319,0.12093163985846866,1,5.800000000000001
2023-01-04,ATP,ATP250,Hard,2.25,0.5478375611725717,0.10339311672812723,1,12.5
2023-01-04,ATP,ATP250,Hard,1.64,0.713050334362294,0.10329423680131844,1,6.399999999999999
2023-01-04,ATP,ATP250,Hard,2.09,0.7160117169997363,0.23754281747820516,0,-10.0
2023-01-05,ATP,ATP250,Hard,2.01,0.5478375611725717,0.05032512336162631,0,-10.0
2023-01-06,ATP,ATP250,Hard,1.68,0.7952426987850185,0.2000046035469233,1,6.799999999999999
2023-01-07,ATP,ATP250,Hard,3.25,0.40327506847103745,0.09558276077872974,0,-10.0
2023-01-02,ATP,ATP250,Hard,1.9,0.6040676186211602,0.07775182914747603,0,-10.0
2023-01-03,ATP,ATP250,Hard,1.63,0.7737724443114914,0.16027551179615396,1,6.299999999999999
2023-01-04,ATP,ATP250,Hard,1.88,0.5894703700711992,0.05755547645417791,0,-10.0
2023-01-04,ATP,ATP250,Hard,1.79,0.6737542936331744,0.11509507575607947,1,7.9
2023-01-05,ATP,ATP250,Hard,2.63,0.44663602201129193,0.06640788512916262,0,-10.0
2023-01-05,ATP,ATP250,Hard,2.48,0.5446256304711681,0.14139982401955514,0,-10.0
2023-01-09,ATP,ATP250,Hard,2.79,0.5335929292372918,0.1751699901691915,1,17.9
2023-01-09,ATP,ATP250,Hard,1.7,0.6737542936331744,0.08551899951552733,1,7.0
2023-01-10,ATP,ATP250,Hard,2.41,0.6417759013857139,0.2268381420496144,0,-10.0
2023-01-11,ATP,ATP250,Hard,1.52,0.7167905941025537,0.058895857260448436,1,5.2
2023-01-11,ATP,ATP250,Hard,1.33,0.8057021004944203,0.0538224012463,0,-10.0
2023-01-12,ATP,ATP250,Hard,2.22,0.6520548132640487,0.20160436281359828,0,-10.0
2023-01-13,ATP,ATP250,Hard,3.07,0.619947006078121,0.2942141070553197,1,20.7
2023-01-13,ATP,ATP250,Hard,1.83,0.6417759013857139,0.09532781395402001,1,8.3
2023-01-09,ATP,ATP250,Hard,1.7,0.6758980004449162,0.08766270632726914,0,-10.0
2023-01-10,ATP,ATP250,Hard,2.93,0.43641586758142203,0.09511893925377701,0,-10.0
2023-01-10,ATP,ATP250,Hard,2.79,0.509586882719389,0.15116394365128866,0,-10.0
2023-01-10,ATP,ATP250,Hard,2.22,0.5063861067789108,0.055935656328460426,1,12.200000000000003
2023-01-10,ATP,ATP250,Hard,2.51,0.4890492424773236,0.09064286797533155,0,-10.0
2023-01-11,ATP,ATP250,Hard,1.86,0.6250999577167343,0.08746554911458382,1,8.600000000000001
2023-01-12,ATP,ATP250,Hard,1.86,0.6342212502974206,0.0965868416952701,1,8.600000000000001
2023-01-12,ATP,ATP250,Hard,2.27,0.5756373405890594,0.1351087062278259,1,12.7
2023-01-12,ATP,ATP250,Hard,2.16,0.6382634883628244,0.17530052539986152,1,11.600000000000001
2023-01-16,ATP,Grand Slam,Hard,2.33,0.5630201942826242,0.133835644926401,1,13.3
2023-01-16,ATP,Grand Slam,Hard,1.64,0.6765271432378609,0.0667710456768853,0,-10.0
2023-01-16,ATP,Grand Slam,Hard,3.03,0.4190795408322068,0.08904653753187675,0,-10.0
2023-01-16,ATP,Grand Slam,Hard,1.94,0.6646161467410299,0.14915222921525662,1,9.399999999999999
2023-01-16,ATP,Grand Slam,Hard,3.13,0.4353384296869095,0.11584961179553571,0,-10.0
2023-01-16,ATP,Grand Slam,Hard,3.38,0.5107769053082969,0.2149189171426164,0,-10.0
2023-01-16,ATP,Grand Slam,Hard,1.69,0.7403556107582372,0.14863963442687622,0,-10.0
2023-01-16,ATP,Grand Slam,Hard,2.08,0.6630443030991122,0.1822750723298815,1,10.8
2023-01-17,ATP,Grand Slam,Hard,1.55,0.7798270392655171,0.13466574894293648,1,5.5
2023-01-17,ATP,Grand Slam,Hard,1.39,0.7860630489181744,0.0666385884865196,1,3.899999999999999
2023-01-17,ATP,Grand Slam,Hard,2.76,0.4369798057173758,0.07466096513766562,0,-10.0
2023-01-18,ATP,Grand Slam,Hard,3.06,0.5162015888184348,0.18940420319751977,0,-10.0
2023-01-18,ATP,Grand Slam,Hard,1.85,0.614690614012991,0.0741500734724505,1,8.5
2023-01-18,ATP,Grand Slam,Hard,2.76,0.45663813276799053,0.09431929218828033,0,-10.0
2023-01-19,ATP,Grand Slam,Hard,2.63,0.5174629704264951,0.13723483354436583,0,-10.0
2023-01-19,ATP,Grand Slam,Hard,2.56,0.5872457713613797,0.19662077136137968,0,-10.0
2023-01-19,ATP,Grand Slam,Hard,3.17,0.39072718785596083,0.0752697746067495,1,21.7
2023-01-19,ATP,Grand Slam,Hard,2.42,0.5533639779887081,0.1401408374928403,1,14.2
2023-01-20,ATP,Grand Slam,Hard,1.57,0.7018195311769232,0.06487685601768756,1,5.700000000000001
2023-01-20,ATP,Grand Slam,Hard,1.89,0.5963470724730928,0.06724654337256364,1,8.899999999999999
2023-01-21,ATP,Grand Slam,Hard,3.29,0.35464285505537163,0.05069148727421663,0,-10.0
2023-01-21,ATP,Grand Slam,Hard,2.34,0.6841174116481461,0.2567669842977187,1,13.399999999999999
2023-01-21,ATP,Grand Slam,Hard,3.3,0.40882807274781907,0.10579776971751603,0,-10.0
2023-01-22,ATP,Grand Slam,Hard,2.4,0.5767847723956956,0.1601181057290289,0,-10.0
