match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Bristol Rvs vs Forest Green,O/U,Over 2.5,1.9,0.5828643010147676,0.5263157894736842,0.056548511541083424,True,9.0,League One,3,2022-07-30
Bristol Rvs vs Forest Green,1X2,Home,2.32,0.5938042435069113,0.4310344827586207,0.16276976074829058,False,-10.0,League One,3,2022-07-30
Stevenage vs Stockport,1X2,Home,2.9,0.49081344759125134,0.3448275862068966,0.14598586138435476,True,19.0,League Two,4,2022-08-06
Charlton vs Derby,1X2,Home,2.69,0.4767212369757053,0.3717472118959108,0.10497402507979448,True,16.9,League One,3,2022-08-06
Exeter vs Port Vale,1X2,Home,2.33,0.5149621509654649,0.4291845493562232,0.08577760160924175,True,13.3,League One,3,2022-08-06
Oxford vs Cambridge,O/U,Under 2.5,1.96,0.5654155681180936,0.5102040816326531,0.0552114864854405,True,9.6,League One,3,2022-08-06
Wycombe vs Shrewsbury,1X2,Home,1.96,0.5960985583740481,0.5102040816326531,0.08589447674139505,False,-10.0,League One,3,2022-08-13
Sheffield Weds vs Charlton,O/U,Over 2.5,2.0,0.5792709458609977,0.5,0.0792709458609977,False,-10.0,League One,3,2022-08-13
Bristol Rvs vs Oxford,1X2,Home,2.72,0.6298243694792914,0.3676470588235294,0.26217731065576205,True,17.200000000000003,League One,3,2022-08-13
Cambridge vs Exeter,1X2,Away,2.48,0.5075404689688188,0.40322580645161293,0.10431466251720584,False,-10.0,League One,3,2022-08-13
Accrington vs Burton,1X2,Home,1.97,0.6201997879081784,0.5076142131979695,0.11258557471020891,False,-10.0,League One,3,2022-08-13
Northampton vs Hartlepool,1X2,Home,1.81,0.6055480680009552,0.5524861878453039,0.053061880155651275,True,8.100000000000001,League Two,4,2022-08-13
Mansfield vs AFC Wimbledon,1X2,Home,1.79,0.6172998945068865,0.5586592178770949,0.058640676629791555,True,7.9,League Two,4,2022-08-16
Barnsley vs Bristol Rvs,1X2,Away,3.65,0.5582457868324167,0.273972602739726,0.28427318409269065,False,-10.0,League One,3,2022-08-16
Doncaster vs Salford,1X2,Home,3.16,0.41353518861126515,0.3164556962025316,0.09707949240873354,True,21.6,League Two,4,2022-08-20
Mansfield vs Stockport,1X2,Home,2.24,0.6156586923276097,0.4464285714285714,0.16923012089903833,True,12.400000000000002,League Two,4,2022-08-20
Oxford vs Morecambe,O/U,Under 2.5,2.14,0.5446075084988985,0.4672897196261682,0.07731778887273028,True,11.400000000000002,League One,3,2022-08-20
Forest Green vs Plymouth,1X2,Home,2.58,0.5070250284370503,0.38759689922480617,0.11942812921224416,False,-10.0,League One,3,2022-08-20
Derby vs Peterboro,1X2,Away,3.72,0.3918517889547617,0.26881720430107525,0.12303458465368644,False,-10.0,League One,3,2022-08-27
Ipswich vs Barnsley,O/U,Over 2.5,2.01,0.5487458700148251,0.49751243781094534,0.05123343220387977,True,10.099999999999998,League One,3,2022-08-27
Bristol Rvs vs Shrewsbury,O/U,Over 2.5,2.06,0.5889681414141843,0.4854368932038835,0.1035312482103008,False,-10.0,League One,3,2022-08-27
Bristol Rvs vs Shrewsbury,1X2,Home,2.48,0.6462990877371748,0.40322580645161293,0.24307328128556188,False,-10.0,League One,3,2022-08-27
Bradford vs Crewe,1X2,Home,1.81,0.6353532504623084,0.5524861878453039,0.0828670626170045,False,-10.0,League Two,4,2022-08-27
Forest Green vs Shrewsbury,O/U,Over 2.5,2.17,0.5121564275469804,0.4608294930875576,0.051326934459422824,False,-10.0,League One,3,2022-09-03
Forest Green vs Shrewsbury,1X2,Home,2.64,0.49790011815696456,0.3787878787878788,0.11911223936908577,False,-10.0,League One,3,2022-09-03
Bristol Rvs vs Morecambe,1X2,Home,1.97,0.6241461805186087,0.5076142131979695,0.1165319673206392,False,-10.0,League One,3,2022-09-03
Bristol Rvs vs Lincoln,O/U,Over 2.5,1.92,0.5730299467687856,0.5208333333333334,0.05219661343545223,True,9.2,League One,3,2022-09-17
Bristol Rvs vs Lincoln,1X2,Home,2.57,0.5708462716372202,0.38910505836575876,0.18174121327146148,False,-10.0,League One,3,2022-09-17
Northampton vs Stockport,1X2,Home,2.47,0.5156568787597059,0.4048582995951417,0.1107985791645642,True,14.700000000000003,League Two,4,2022-09-24
Sheffield Weds vs Cheltenham,O/U,Under 2.5,2.08,0.5496558793437323,0.4807692307692307,0.06888664857450155,False,-10.0,League One,3,2022-10-08
Accrington vs Bolton,O/U,Under 2.5,1.9,0.5765638892208668,0.5263157894736842,0.050248099747182584,False,-10.0,League One,3,2022-10-22
Fleetwood Town vs Forest Green,1X2,Home,1.98,0.5598844622593887,0.5050505050505051,0.05483395720888362,False,-10.0,League One,3,2022-10-25
Bolton vs Burton,O/U,Under 2.5,2.02,0.5602520421936272,0.49504950495049505,0.06520253724313219,False,-10.0,League One,3,2022-10-25
Cheltenham vs Milton Keynes Dons,1X2,Home,2.51,0.4811882907187487,0.39840637450199207,0.08278191621675662,False,-10.0,League One,3,2022-10-29
Plymouth vs Exeter,1X2,Home,1.97,0.5660183236872876,0.5076142131979695,0.05840411048931804,True,9.7,League One,3,2022-10-31
Cheltenham vs Wycombe,1X2,Home,3.4,0.4203803897842092,0.29411764705882354,0.12626274272538568,True,24.0,League One,3,2022-11-19
Bolton vs Bristol Rvs,O/U,Under 2.5,2.04,0.5412721220860215,0.49019607843137253,0.05107604365464896,True,10.4,League One,3,2022-12-02
Carlisle vs Sutton,1X2,Home,2.32,0.5346888893317523,0.4310344827586207,0.10365440657313157,False,-10.0,League Two,4,2022-12-03
Gillingham vs Salford,1X2,Home,3.38,0.4137744718512427,0.2958579881656805,0.11791648368556223,False,-10.0,League Two,4,2022-12-03
Stevenage vs Crawley Town,O/U,Under 2.5,1.94,0.5673896002982646,0.5154639175257733,0.05192568277249132,False,-10.0,League Two,4,2022-12-30
Sheffield Weds vs Cambridge,O/U,Under 2.5,2.17,0.5486818713911893,0.4608294930875576,0.08785237830363168,False,-10.0,League One,3,2023-01-02
AFC Wimbledon vs Bradford,1X2,Home,2.79,0.4416989263016578,0.35842293906810035,0.08327598723355745,False,-10.0,League Two,4,2023-01-14
Portsmouth vs Barnsley,1X2,Away,2.85,0.46769638833496885,0.3508771929824561,0.11681919535251273,False,-10.0,League One,3,2023-02-04
Forest Green vs Peterboro,O/U,Under 2.5,1.98,0.5563777452788579,0.5050505050505051,0.05132724022835278,True,9.8,League One,3,2023-02-04
Shrewsbury vs Port Vale,1X2,Home,2.4,0.5005509759996835,0.4166666666666667,0.08388430933301677,True,14.0,League One,3,2023-02-11
Carlisle vs Mansfield,1X2,Home,2.35,0.5074850063034064,0.425531914893617,0.0819530914097894,False,-10.0,League Two,4,2023-02-14
Sheffield Weds vs Morecambe,O/U,Under 2.5,2.19,0.5075890599211372,0.4566210045662101,0.050968055354927155,False,-10.0,League One,3,2023-02-14
Colchester vs Northampton,1X2,Home,3.03,0.4142030570674885,0.33003300330033003,0.08417005376715847,False,-10.0,League Two,4,2023-02-25
Shrewsbury vs Morecambe,O/U,Over 2.5,2.16,0.5150516452212037,0.4629629629629629,0.052088682258240815,True,11.600000000000001,League One,3,2023-03-11
Carlisle vs Stevenage,O/U,Over 2.5,2.27,0.5126802388126648,0.44052863436123346,0.07215160445143132,False,-10.0,League Two,4,2023-03-18
Carlisle vs Stevenage,1X2,Home,2.47,0.4982205237823504,0.4048582995951417,0.09336222418720869,False,-10.0,League Two,4,2023-03-18
Lincoln vs Peterboro,1X2,Home,3.11,0.4452619751897673,0.3215434083601286,0.12371856682963867,False,-10.0,League One,3,2023-03-18
Cambridge vs Charlton,1X2,Home,2.71,0.47437319116508614,0.36900369003690037,0.10536950112818577,False,-10.0,League One,3,2023-03-18
Northampton vs Stevenage,1X2,Home,2.55,0.4879000296868186,0.3921568627450981,0.09574316694172053,False,-10.0,League Two,4,2023-04-01
Derby vs Ipswich,1X2,Away,2.15,0.5600843427647453,0.46511627906976744,0.09496806369497784,True,11.5,League One,3,2023-04-01
Exeter vs Bolton,1X2,Home,2.83,0.48781714590019043,0.35335689045936397,0.13446025544082646,False,-10.0,League One,3,2023-04-07
Barnsley vs Shrewsbury,O/U,Over 2.5,2.09,0.5641277455159449,0.47846889952153115,0.08565884599441376,True,10.899999999999999,League One,3,2023-04-10
Crawley Town vs Colchester,1X2,Home,2.79,0.44803811148944017,0.35842293906810035,0.08961517242133982,False,-10.0,League Two,4,2023-04-18
Exeter vs Derby,1X2,Home,3.29,0.45359407404945445,0.303951367781155,0.14964270626829945,False,-10.0,League One,3,2023-04-18
Burton vs Bolton,1X2,Home,3.31,0.47297245389042053,0.3021148036253776,0.1708576502650429,False,-10.0,League One,3,2023-04-18
Bolton vs Accrington,O/U,Under 2.5,2.04,0.5443119233349485,0.49019607843137253,0.05411584490357596,True,10.4,League One,3,2023-04-25
Plymouth vs Bristol Rvs,O/U,Under 2.5,2.24,0.5466935275637953,0.4464285714285714,0.1002649561352239,True,12.400000000000002,League One,3,2023-04-25
Peterboro vs Bristol Rvs,O/U,Under 2.5,2.29,0.5328963552222699,0.4366812227074236,0.09621513251484626,True,12.9,League One,3,2023-04-29
Barnsley vs Peterboro,1X2,Home,2.68,0.4982560321745487,0.3731343283582089,0.1251217038163398,False,-10.0,League One,3,2023-05-07
Sheffield Weds vs Derby,1X2,Home,2.57,0.4739373798121052,0.38910505836575876,0.08483232144634645,True,15.7,League One,3,2023-05-07
Port Vale vs Plymouth,O/U,Under 2.5,2.04,0.5456293669313284,0.49019607843137253,0.055433288499955824,False,-10.0,League One,3,2023-05-07
Oxford vs Accrington,O/U,Under 2.5,2.14,0.5312444300394061,0.4672897196261682,0.06395471041323791,False,-10.0,League One,3,2023-05-07
Lincoln vs Shrewsbury,1X2,Home,1.99,0.5612695134547685,0.5025125628140703,0.05875695064069819,True,9.9,League One,3,2023-05-07
Fleetwood Town vs Ipswich,O/U,Under 2.5,2.25,0.4981660960230957,0.4444444444444444,0.053721651578651275,False,-10.0,League One,3,2023-05-07
Exeter vs Morecambe,1X2,Home,2.35,0.5069693474477532,0.425531914893617,0.08143743255413621,True,13.5,League One,3,2023-05-07
Swindon vs Crawley Town,O/U,Under 2.5,2.15,0.5270287020819291,0.46511627906976744,0.061912423012161655,False,-10.0,League Two,4,2023-05-08
Stockport vs Hartlepool,O/U,Under 2.5,2.34,0.494217658602798,0.4273504273504274,0.0668672312523706,True,13.399999999999999,League Two,4,2023-05-08
