match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Charleroi vs Antwerp,1X2,Home,3.11,0.5490480116062801,0.3215434083601286,0.22750460324615152,False,-10.0,Jupiler Pro League,1,2024-07-28
Westerlo vs Cercle Brugge,1X2,Home,2.89,0.4862452880112066,0.3460207612456747,0.14022452676553188,True,18.900000000000002,Jupiler Pro League,1,2024-07-28
Oud-Heverlee Leuven vs Genk,O/U,Under 2.5,2.21,0.5486916234593033,0.45248868778280543,0.0962029356764979,False,-10.0,Jupiler Pro League,1,2024-08-03
Oud-Heverlee Leuven vs Genk,1X2,Home,3.32,0.49696170415513785,0.30120481927710846,0.1957568848780294,True,23.2,Jupiler Pro League,1,2024-08-03
Cercle Brugge vs Kortrijk,O/U,Under 2.5,2.18,0.5324929752050449,0.4587155963302752,0.0737773788747697,False,-10.0,Jupiler Pro League,1,2024-08-04
Groningen vs NAC Breda,O/U,Under 2.5,2.27,0.529818134227981,0.44052863436123346,0.0892894998667475,False,-10.0,Eredivisie,1,2024-08-09
Ross County vs Dundee United,1X2,Home,2.56,0.4725316573283047,0.390625,0.08190665732830471,False,-10.0,Premiership,1,2024-08-10
Charleroi vs Gent,O/U,Under 2.5,2.22,0.5036229630482864,0.4504504504504504,0.05317251259783595,True,12.200000000000003,Jupiler Pro League,1,2024-08-11
Charleroi vs Gent,1X2,Home,2.86,0.44376535314986715,0.3496503496503497,0.09411500349951746,True,18.599999999999998,Jupiler Pro League,1,2024-08-11
Cercle Brugge vs Beerschot VA,O/U,Under 2.5,2.18,0.5092363612891646,0.4587155963302752,0.05052076495888941,False,-10.0,Jupiler Pro League,1,2024-08-11
Aberdeen vs St Mirren,O/U,Over 2.5,2.11,0.5790559910185965,0.47393364928909953,0.10512234172949697,True,11.099999999999998,Premiership,1,2024-08-11
Aberdeen vs St Mirren,1X2,Home,1.93,0.6696201427310746,0.5181347150259068,0.15148542770516782,True,9.299999999999999,Premiership,1,2024-08-11
Antwerp vs St Truiden,O/U,Under 2.5,2.35,0.5083997107462298,0.425531914893617,0.08286779585261278,False,-10.0,Jupiler Pro League,1,2024-08-11
For Sittard vs Almere City,1X2,Home,1.79,0.611383182157677,0.5586592178770949,0.052723964280582014,True,7.9,Eredivisie,1,2024-08-16
Brest vs Marseille,1X2,Home,2.88,0.45772814777247683,0.3472222222222222,0.11050592555025462,False,-10.0,Ligue 1,1,2024-08-17
Goztep vs Fenerbahce,O/U,Over 2.5,1.83,0.61414437009615,0.5464480874316939,0.06769628266445604,True,8.3,Super Lig,1,2024-08-17
Beerschot VA vs Genk,O/U,Under 2.5,2.21,0.5151559390344844,0.45248868778280543,0.06266725125167899,False,-10.0,Jupiler Pro League,1,2024-08-17
St Truiden vs Dender,O/U,Under 2.5,2.0,0.5586189318141481,0.5,0.05861893181414812,False,-10.0,Jupiler Pro League,1,2024-08-17
Mechelen vs Anderlecht,O/U,Under 2.5,2.16,0.5152768005362695,0.4629629629629629,0.05231383757330654,False,-10.0,Jupiler Pro League,1,2024-08-17
Mechelen vs Anderlecht,1X2,Home,3.28,0.41682480997162263,0.3048780487804878,0.11194676119113484,False,-10.0,Jupiler Pro League,1,2024-08-17
Waalwijk vs Groningen,1X2,Home,2.37,0.5199205613903128,0.42194092827004215,0.09797963312027069,False,-10.0,Eredivisie,1,2024-08-17
Milan vs Torino,O/U,Over 2.5,1.92,0.5988780327525738,0.5208333333333334,0.07804469941924042,True,9.2,Serie A,1,2024-08-17
Parma vs Fiorentina,1X2,Home,3.31,0.45080908366542793,0.3021148036253776,0.1486942800400503,False,-10.0,Serie A,1,2024-08-17
Bologna vs Udinese,1X2,Home,1.93,0.5933509916738998,0.5181347150259068,0.07521627664799302,False,-10.0,Serie A,1,2024-08-18
Atromitos vs Aris,1X2,Home,2.8,0.4615511666025065,0.35714285714285715,0.10440830945964935,False,-10.0,Super League,1,2024-08-18
Willem II vs Go Ahead Eagles,1X2,Home,3.0,0.41581341871896327,0.3333333333333333,0.08248008538562995,True,20.0,Eredivisie,1,2024-08-18
Auxerre vs Nice,O/U,Over 2.5,2.19,0.562683895492545,0.4566210045662101,0.10606289092633497,True,11.899999999999999,Ligue 1,1,2024-08-18
Auxerre vs Nice,1X2,Home,3.14,0.6387320597387232,0.3184713375796178,0.32026072215910534,True,21.400000000000002,Ligue 1,1,2024-08-18
Oud-Heverlee Leuven vs Cercle Brugge,1X2,Home,2.81,0.4803477031620992,0.35587188612099646,0.12447581704110272,False,-10.0,Jupiler Pro League,1,2024-08-18
Kortrijk vs Standard,1X2,Home,2.71,0.4901126633333439,0.36900369003690037,0.12110897329644355,True,17.1,Jupiler Pro League,1,2024-08-18
Gaziantep vs Samsunspor,1X2,Home,2.62,0.5197978186867276,0.38167938931297707,0.13811842937375052,False,-10.0,Super Lig,1,2024-08-18
Valladolid vs Espanol,1X2,Home,2.36,0.5500708437792265,0.42372881355932207,0.12634203021990448,True,13.599999999999998,La Liga,1,2024-08-19
Panetolikos vs Lamia,O/U,Over 2.5,2.1,0.5505369672255656,0.47619047619047616,0.07434649103508939,False,-10.0,Super League,1,2024-08-19
Panetolikos vs Lamia,1X2,Home,2.1,0.637022851009067,0.47619047619047616,0.1608323748185908,False,-10.0,Super League,1,2024-08-19
Celta vs Valencia,1X2,Home,2.12,0.5651665438676365,0.4716981132075471,0.09346843066008942,True,11.200000000000001,La Liga,1,2024-08-23
Alanyaspor vs Goztep,O/U,Over 2.5,2.04,0.5703404115301591,0.49019607843137253,0.0801443330987866,False,-10.0,Super Lig,1,2024-08-23
Alanyaspor vs Goztep,1X2,Home,1.96,0.6047007691086433,0.5102040816326531,0.09449668747599027,False,-10.0,Super Lig,1,2024-08-23
Mainz vs Union Berlin,O/U,Over 2.5,2.23,0.5739644469442162,0.4484304932735426,0.1255339536706736,False,-10.0,Bundesliga,1,2024-08-24
Mainz vs Union Berlin,1X2,Home,2.05,0.5941478273147227,0.48780487804878053,0.10634294926594218,False,-10.0,Bundesliga,1,2024-08-24
