date,tour,series,surface,odds,model_prob,edge,won,pnl
2024-01-01,ATP,ATP250,Hard,1.63,0.6662368535995483,0.05273992108421088,0,-10.0
2024-01-02,ATP,ATP250,Hard,1.76,0.6263058841228485,0.058124065941030256,0,-10.0
2024-01-02,ATP,ATP250,Hard,1.59,0.6814678907394409,0.052537073129378054,1,5.9
2024-01-02,ATP,ATP250,Hard,3.02,0.38591415286064146,0.054788325046071895,0,-10.0
2024-01-02,ATP,ATP250,Hard,1.82,0.7073213696479798,0.15787082019743037,1,8.200000000000001
2024-01-02,ATP,ATP250,Hard,2.57,0.5095417678356171,0.12043670946985835,1,15.7
2024-01-03,ATP,ATP250,Hard,2.49,0.4571894526481628,0.05558302694535161,0,-10.0
2024-01-05,ATP,ATP250,Hard,2.96,0.5268769025802612,0.18903906474242338,0,-10.0
2024-01-01,ATP,ATP250,Hard,1.7,0.6471211016178131,0.05888580750016603,0,-10.0
2024-01-01,ATP,ATP250,Hard,1.55,0.7127784967422486,0.06761720641966795,1,5.5
2024-01-01,ATP,ATP250,Hard,3.48,0.37095309495925904,0.0835967731201786,0,-10.0
2024-01-02,ATP,ATP250,Hard,2.41,0.49186841845512386,0.0769306591190243,0,-10.0
2024-01-02,ATP,ATP250,Hard,3.03,0.3854151487350464,0.05538214543471637,0,-10.0
2024-01-02,ATP,ATP250,Hard,2.51,0.5739036798477173,0.17549730534572522,0,-10.0
2024-01-02,ATP,ATP250,Hard,2.42,0.4832751274108886,0.07005198691502085,0,-10.0
2024-01-03,ATP,ATP250,Hard,1.79,0.6792006552219391,0.12054143734484413,1,7.9
2024-01-04,ATP,ATP250,Hard,1.73,0.6375041902065277,0.05946950812560281,0,-10.0
2024-01-04,ATP,ATP250,Hard,2.85,0.6339252293109894,0.28304803632853326,0,-10.0
2024-01-05,ATP,ATP250,Hard,2.83,0.5358009338378906,0.18244404337852665,1,18.3
2024-01-05,ATP,ATP250,Hard,1.29,0.8663591980934143,0.09116539964380199,1,2.9000000000000004
2024-01-07,ATP,ATP250,Hard,1.29,0.8318171709775924,0.05662337252798011,1,2.9000000000000004
2024-01-08,ATP,ATP250,Hard,2.43,0.6375041902065277,0.22598155646167178,0,-10.0
