date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-01-14,ATP,ATP250,Hard,Semifinals,pB,2.11,0.8264641817466307,0.47393364928909953,0.3525305324575312,1,11.099999999999998
2022-01-10,ATP,ATP250,Hard,1st Round,pA,1.67,0.6720830900178727,0.5988023952095809,0.0732806948082918,1,6.699999999999999
2022-01-10,ATP,ATP250,Hard,1st Round,pB,2.21,0.5425310150217214,0.45248868778280543,0.09004232723891598,1,12.1
2022-01-10,ATP,ATP250,Hard,1st Round,pB,2.74,0.6421506664885286,0.36496350364963503,0.27718716283889355,0,-10.0
2022-01-11,ATP,ATP250,Hard,1st Round,pA,2.12,0.7712152005132193,0.4716981132075471,0.2995170873056722,1,11.200000000000001
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.69,0.7520071399804319,0.3717472118959108,0.3802599280845211,0,-10.0
2022-01-11,ATP,ATP250,Hard,1st Round,pA,2.13,0.749155021393278,0.4694835680751174,0.2796714533181607,0,-10.0
2022-01-11,ATP,ATP250,Hard,1st Round,pB,1.52,0.7691035344910835,0.6578947368421053,0.11120879764897817,0,-10.0
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.51,0.5168107203102964,0.39840637450199207,0.11840434580830433,1,15.099999999999998
2022-01-11,ATP,ATP250,Hard,1st Round,pA,1.52,0.8266473737258684,0.6578947368421053,0.16875263688376307,1,5.2
2022-01-12,ATP,ATP250,Hard,2nd Round,pA,2.5,0.7948546455037487,0.4,0.3948546455037487,0,-10.0
2022-01-12,ATP,ATP250,Hard,2nd Round,pA,2.49,0.5426824142662182,0.4016064257028112,0.14107598856340703,0,-10.0
2022-01-13,ATP,ATP250,Hard,Quarterfinals,pA,2.09,0.7245424714993784,0.47846889952153115,0.2460735719778473,1,10.899999999999999
2022-01-13,ATP,ATP250,Hard,Quarterfinals,pB,2.2,0.6563837780449194,0.45454545454545453,0.2018383234994649,0,-10.0
2022-01-13,ATP,ATP250,Hard,Quarterfinals,pB,2.59,0.7553421172224183,0.3861003861003861,0.3692417311220322,0,-10.0
2022-01-14,ATP,ATP250,Hard,Semifinals,pB,2.07,0.678971152893305,0.48309178743961356,0.19587936545369145,0,-10.0
2022-01-15,ATP,ATP250,Hard,The Final,pA,1.77,0.6693162915989003,0.5649717514124294,0.10434454018647088,1,7.7
2022-01-17,ATP,Grand Slam,Hard,1st Round,pA,3.2,0.5154972665956302,0.3125,0.20299726659563022,1,22.0
2022-01-17,ATP,Grand Slam,Hard,1st Round,pA,3.41,0.37101589647790606,0.29325513196480935,0.07776076451309671,1,24.1
2022-01-17,ATP,Grand Slam,Hard,1st Round,pA,1.81,0.7794646071659006,0.5524861878453039,0.2269784193205967,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,1st Round,pA,1.5,0.7569980124192058,0.6666666666666666,0.0903313457525392,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,1st Round,pA,1.31,0.9116859978353062,0.7633587786259541,0.1483272192093521,1,3.1000000000000005
2022-01-17,ATP,Grand Slam,Hard,1st Round,pB,2.53,0.5203058305501458,0.3952569169960475,0.1250489135540983,1,15.299999999999997
2022-01-17,ATP,Grand Slam,Hard,1st Round,pA,2.22,0.5826739419269265,0.4504504504504504,0.13222349147647605,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,1st Round,pB,1.55,0.9081098684154569,0.6451612903225806,0.2629485780928763,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,1st Round,pB,1.28,0.9267492050869852,0.78125,0.14549920508698522,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,1st Round,pA,1.41,0.8645732726334062,0.7092198581560284,0.15535341447737783,1,4.1
2022-01-17,ATP,Grand Slam,Hard,1st Round,pB,1.42,0.9037361978248905,0.7042253521126761,0.19951084571221434,1,4.199999999999999
2022-01-17,ATP,Grand Slam,Hard,1st Round,pB,1.29,0.9267492050869852,0.7751937984496123,0.15155540663737288,1,2.9000000000000004
2022-01-18,ATP,Grand Slam,Hard,1st Round,pB,2.53,0.49540860421111665,0.3952569169960475,0.10015168721506917,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,1st Round,pA,2.08,0.6056703342031181,0.4807692307692307,0.12490110343388738,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,1st Round,pA,2.27,0.5007181563522636,0.44052863436123346,0.060189521991030115,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,1st Round,pB,2.88,0.5076812458325378,0.3472222222222222,0.1604590236103156,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,1st Round,pA,1.99,0.6217565124225665,0.5025125628140703,0.11924394960849616,1,9.9
2022-01-18,ATP,Grand Slam,Hard,1st Round,pA,1.88,0.7734101914492624,0.5319148936170213,0.2414952978322411,1,8.799999999999999
2022-01-18,ATP,Grand Slam,Hard,1st Round,pB,2.6,0.7303683216046639,0.3846153846153846,0.34575293698927934,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,1st Round,pA,3.3,0.495969173991341,0.30303030303030304,0.19293887096103796,0,-10.0
