date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-01-04,WTA,WTA250,Hard,1st Round,pA,2.06,0.5929035663604736,0.4854368932038835,0.10746667315659009,0,-10.0
2022-01-05,WTA,WTA250,Hard,1st Round,pB,2.98,0.45276926755905156,0.33557046979865773,0.11719879776039382,0,-10.0
2022-01-06,WTA,WTA250,Hard,2nd Round,pA,2.12,0.5804701566696167,0.4716981132075471,0.10877204346206953,1,11.200000000000001
2022-01-06,WTA,WTA250,Hard,2nd Round,pB,1.34,0.807379075884819,0.7462686567164178,0.06111041916840121,1,3.400000000000001
2022-01-07,WTA,WTA250,Hard,Quarterfinals,pA,1.58,0.7464751601219177,0.6329113924050632,0.1135637677168545,1,5.800000000000001
2022-01-08,WTA,WTA250,Hard,Semifinals,pA,1.23,0.8984511017799377,0.8130081300813008,0.0854429716986369,1,2.3
2022-01-09,WTA,WTA250,Hard,The Final,pB,1.29,0.9647414233535528,0.7751937984496123,0.1895476249039405,1,2.9000000000000004
2022-01-04,WTA,WTA250,Hard,1st Round,pB,1.57,0.9771831754595042,0.6369426751592356,0.34024050030026853,1,5.700000000000001
2022-01-04,WTA,WTA250,Hard,1st Round,pA,2.42,0.5660660743713379,0.4132231404958678,0.15284293387547015,0,-10.0
2022-01-04,WTA,WTA250,Hard,1st Round,pB,1.28,0.9979166666045785,0.78125,0.21666666660457845,1,2.8000000000000003
2022-01-04,WTA,WTA250,Hard,1st Round,pB,1.95,0.5843333184719086,0.5128205128205129,0.07151280565139573,1,9.5
2022-01-04,WTA,WTA250,Hard,1st Round,pB,1.66,0.9858788277953863,0.6024096385542169,0.38346918924116935,1,6.6
2022-01-04,WTA,WTA250,Hard,1st Round,pA,1.33,0.9665626525878906,0.7518796992481203,0.2146829533397704,1,3.3000000000000007
2022-01-05,WTA,WTA250,Hard,1st Round,pA,1.4,1.0,0.7142857142857143,0.2857142857142857,1,3.999999999999999
2022-01-05,WTA,WTA250,Hard,1st Round,pA,1.52,0.9858916878700257,0.6578947368421053,0.32799695102792037,1,5.2
2022-01-05,WTA,WTA250,Hard,1st Round,pA,2.4,0.9604109287261963,0.4166666666666667,0.5437442620595296,1,14.0
2022-01-05,WTA,WTA250,Hard,1st Round,pA,1.65,0.9495040655136109,0.6060606060606061,0.3434434594530048,1,6.499999999999999
2022-01-05,WTA,WTA250,Hard,1st Round,pB,2.07,0.98778358977288,0.48309178743961356,0.5046918023332665,1,10.7
2022-01-06,WTA,WTA250,Hard,2nd Round,pA,1.68,0.9713781476020813,0.5952380952380952,0.37614005236398607,1,6.799999999999999
2022-01-06,WTA,WTA250,Hard,2nd Round,pA,1.7,0.9712750673294067,0.5882352941176471,0.38303977321175964,1,7.0
2022-01-06,WTA,WTA250,Hard,2nd Round,pA,1.61,0.9448886752128601,0.6211180124223602,0.32377066279049993,1,6.100000000000001
2022-01-06,WTA,WTA250,Hard,2nd Round,pB,1.57,0.7124951422214508,0.6369426751592356,0.07555246706221519,0,-10.0
2022-01-06,WTA,WTA250,Hard,2nd Round,pB,1.82,0.8667281255125999,0.5494505494505494,0.31727757606205054,1,8.200000000000001
2022-01-06,WTA,WTA250,Hard,2nd Round,pB,1.5,0.8369204327464104,0.6666666666666666,0.17025376607974374,1,5.0
2022-01-07,WTA,WTA250,Hard,Quarterfinals,pA,2.49,0.5679450511932373,0.4016064257028112,0.16633862549042616,0,-10.0
2022-01-07,WTA,WTA250,Hard,Quarterfinals,pB,3.49,0.4070964336395264,0.28653295128939826,0.12056348235012815,0,-10.0
2022-01-07,WTA,WTA250,Hard,Quarterfinals,pB,2.79,0.41475890874862675,0.35842293906810035,0.0563359696805264,1,17.9
2022-01-09,WTA,WTA250,Hard,The Final,pB,2.95,0.47250823378562923,0.3389830508474576,0.13352518293817162,0,-10.0
2022-02-21,WTA,WTA250,Hard,1st Round,pB,1.87,0.6927488774061203,0.53475935828877,0.15798951911735037,1,8.700000000000001
2022-02-21,WTA,WTA250,Hard,1st Round,pB,2.9,0.9509967625141144,0.3448275862068966,0.6061691763072178,1,19.0
2022-02-21,WTA,WTA250,Hard,1st Round,pA,1.57,0.9633461594581604,0.6369426751592356,0.32640348429892474,1,5.700000000000001
2022-02-21,WTA,WTA250,Hard,1st Round,pA,1.59,0.9974025964736939,0.6289308176100629,0.368471778863631,1,5.9
2022-02-21,WTA,WTA250,Hard,1st Round,pA,2.05,0.9858916878700257,0.48780487804878053,0.49808680982124515,1,10.499999999999998
2022-02-22,WTA,WTA250,Hard,1st Round,pB,1.59,0.9771831754595042,0.6289308176100629,0.3482523578494413,1,5.9
2022-02-22,WTA,WTA250,Hard,1st Round,pA,1.38,0.997183096408844,0.7246376811594204,0.27254541524942355,1,3.799999999999999
2022-02-22,WTA,WTA250,Hard,1st Round,pB,2.51,0.992975490167737,0.39840637450199207,0.5945691156657449,1,15.099999999999998
2022-02-23,WTA,WTA250,Hard,1st Round,pA,1.63,0.9916071653366089,0.6134969325153374,0.37811023282127143,1,6.299999999999999
2022-02-23,WTA,WTA250,Hard,1st Round,pA,1.24,0.9859328389167785,0.8064516129032259,0.17948122601355265,1,2.4
2022-02-23,WTA,WTA250,Hard,2nd Round,pA,1.45,0.8157620906829834,0.6896551724137931,0.1261069182691903,1,4.5
2022-02-23,WTA,WTA250,Hard,2nd Round,pB,1.77,0.9613960716873408,0.5649717514124294,0.39642432027491137,1,7.7
