date,tour,series,surface,odds,model_prob,edge,won,pnl
2022-01-06,WTA,WTA500,Hard,1.95,0.6249338328838349,0.11211332006332198,1,9.5
2022-01-08,WTA,WTA500,Hard,1.55,0.7630662441253662,0.11790495380278554,1,5.5
2022-01-04,WTA,WTA250,Hard,2.06,0.5721201300621033,0.08668323685821977,0,-10.0
2022-01-04,WTA,WTA250,Hard,1.88,0.5925240159034729,0.060609122286451655,0,-10.0
2022-01-05,WTA,WTA250,Hard,2.98,0.43549450635910036,0.09992403656044263,0,-10.0
2022-01-06,WTA,WTA250,Hard,2.09,0.5293892860412598,0.05092038651972863,0,-10.0
2022-01-06,WTA,WTA250,Hard,1.71,0.638019222021103,0.05322390038367608,0,-10.0
2022-01-04,WTA,WTA250,Hard,2.42,0.5402607679367065,0.12703762744083874,0,-10.0
2022-01-05,WTA,WTA250,Hard,1.52,0.7219616293907165,0.0640668925486112,1,5.2
2022-01-05,WTA,WTA250,Hard,1.56,0.6916882395744324,0.050662598548791404,0,-10.0
2022-01-06,WTA,WTA250,Hard,2.29,0.6288800179958344,0.19219879528841077,0,-10.0
2022-01-07,WTA,WTA250,Hard,2.49,0.47322218418121337,0.07161575847840218,0,-10.0
2022-01-07,WTA,WTA250,Hard,3.49,0.4085721969604492,0.12203924567105096,0,-10.0
2022-01-08,WTA,WTA250,Hard,1.92,0.5756178021430969,0.05478446880976351,0,-10.0
2022-01-09,WTA,WTA250,Hard,2.95,0.4522329449653626,0.11324989411790498,0,-10.0
2022-01-10,WTA,WTA500,Hard,1.46,0.7388572573661805,0.053925750516865434,1,4.6
2022-01-10,WTA,WTA500,Hard,2.32,0.48678888678550725,0.05575440402688653,1,13.2
2022-01-10,WTA,WTA500,Hard,2.43,0.49188115000724797,0.08035851626239204,0,-10.0
2022-01-10,WTA,WTA500,Hard,2.64,0.6202901005744934,0.24150222178661462,0,-10.0
2022-01-11,WTA,WTA500,Hard,2.14,0.5998669922351837,0.13257727260901547,0,-10.0
2022-01-11,WTA,WTA500,Hard,1.93,0.6166609168052674,0.09852620177936056,1,9.299999999999999
2022-01-11,WTA,WTA500,Hard,1.88,0.6398223519325257,0.10790745831550441,1,8.799999999999999
2022-01-12,WTA,WTA500,Hard,2.67,0.46950429677963257,0.09497246157364003,1,16.7
2022-01-12,WTA,WTA500,Hard,2.92,0.49941313862800596,0.15694738520334844,0,-10.0
2022-01-12,WTA,WTA500,Hard,2.58,0.47329252362251284,0.08569562439770667,0,-10.0
2022-01-12,WTA,WTA500,Hard,3.33,0.37766383886337285,0.07736353856307254,0,-10.0
2022-01-13,WTA,WTA500,Hard,2.34,0.48678888678550725,0.05943845943507986,0,-10.0
2022-01-13,WTA,WTA500,Hard,3.43,0.38585524559021,0.09431005608583687,0,-10.0
