date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-01-03,ATP,ATP250,Hard,1st Round,pB,1.64,0.9851753063499927,0.6097560975609756,0.37541920878901713,1,6.399999999999999
2022-01-03,ATP,ATP250,Hard,1st Round,pA,2.38,0.8636910080909729,0.42016806722689076,0.4435229408640821,1,13.799999999999999
2022-01-03,ATP,ATP250,Hard,1st Round,pB,2.1,0.9876872530207038,0.47619047619047616,0.5114967768302277,1,11.0
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.09,0.6678332924842835,0.47846889952153115,0.18936439296275231,1,10.899999999999999
2022-01-04,ATP,ATP250,Hard,1st Round,pB,2.62,0.8155960738658905,0.38167938931297707,0.43391668455291343,1,16.200000000000003
2022-01-04,ATP,ATP250,Hard,1st Round,pB,2.04,0.950851334631443,0.49019607843137253,0.4606552562000705,1,10.4
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.89,0.9850473642349243,0.3460207612456747,0.6390266029892496,1,18.900000000000002
2022-01-04,ATP,ATP250,Hard,1st Round,pB,1.32,0.9775981523096562,0.7575757575757576,0.22002239473389862,1,3.2000000000000006
2022-01-04,ATP,ATP250,Hard,1st Round,pA,1.9,0.6948209643363953,0.5263157894736842,0.1685051748627111,1,9.0
2022-01-04,ATP,ATP250,Hard,1st Round,pB,1.77,0.8230240106582641,0.5649717514124294,0.25805225924583475,1,7.7
2022-01-05,ATP,ATP250,Hard,2nd Round,pB,2.28,0.5068404316902161,0.4385964912280702,0.06824394046214588,1,12.799999999999997
2022-01-05,ATP,ATP250,Hard,2nd Round,pA,1.3,0.8210816502571106,0.7692307692307692,0.05185088102634139,1,3.0000000000000004
2022-01-05,ATP,ATP250,Hard,2nd Round,pB,1.63,0.728918731212616,0.6134969325153374,0.11542179869727853,0,-10.0
2022-01-06,ATP,ATP250,Hard,2nd Round,pA,1.67,0.9638620972633362,0.5988023952095809,0.36505970205375526,1,6.699999999999999
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,1.24,0.9935467351227999,0.8064516129032259,0.18709512221957403,1,2.4
2022-01-07,ATP,ATP250,Hard,Quarterfinals,pB,2.26,0.727387449145317,0.4424778761061947,0.28490957303912234,0,-10.0
2022-01-08,ATP,ATP250,Hard,Semifinals,pA,1.37,0.8145915150642395,0.7299270072992701,0.08466450776496948,1,3.700000000000001
2022-01-09,ATP,ATP250,Hard,The Final,pA,1.6,0.854247510433197,0.625,0.22924751043319702,1,6.000000000000001
2022-01-04,ATP,ATP250,Hard,1st Round,pA,2.67,0.4640990912914276,0.37453183520599254,0.08956725608543509,0,-10.0
2022-01-04,ATP,ATP250,Hard,1st Round,pA,3.05,0.4725649356842041,0.3278688524590164,0.14469608322518768,0,-10.0
2022-01-05,ATP,ATP250,Hard,1st Round,pA,2.27,0.7260120391845704,0.44052863436123346,0.2854834048233369,1,12.7
2022-01-05,ATP,ATP250,Hard,1st Round,pB,1.92,0.6145890891551972,0.5208333333333334,0.0937557558218638,1,9.2
2022-01-05,ATP,ATP250,Hard,1st Round,pB,2.62,0.8982542589306831,0.38167938931297707,0.516574869617706,0,-10.0
2022-01-05,ATP,ATP250,Hard,1st Round,pA,1.37,0.8886247515678406,0.7299270072992701,0.15869774426857053,1,3.700000000000001
2022-01-05,ATP,ATP250,Hard,1st Round,pB,2.19,0.907862102240324,0.4566210045662101,0.45124109767411397,0,-10.0
2022-01-05,ATP,ATP250,Hard,1st Round,pB,1.43,0.8385293021798134,0.6993006993006994,0.13922860287911398,1,4.299999999999999
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,1.57,0.8478077128529549,0.6369426751592356,0.21086503769371923,1,5.700000000000001
2022-01-06,ATP,ATP250,Hard,2nd Round,pB,1.71,0.8111435800790787,0.5847953216374269,0.22634825844165185,0,-10.0
2022-01-07,ATP,ATP250,Hard,Quarterfinals,pA,1.73,0.7240208148956299,0.5780346820809249,0.14598613281470496,1,7.3
2022-01-08,ATP,ATP250,Hard,Semifinals,pB,1.2,0.9268971391022205,0.8333333333333334,0.09356380576888712,1,1.9999999999999996
2022-01-10,ATP,ATP250,Hard,1st Round,pA,2.02,0.7743985652923584,0.49504950495049505,0.27934906034186335,1,10.2
2022-01-10,ATP,ATP250,Hard,1st Round,pB,2.07,0.9861822595819831,0.48309178743961356,0.5030904721423696,1,10.7
2022-01-10,ATP,ATP250,Hard,1st Round,pA,2.37,0.9919918060302735,0.42194092827004215,0.5700508777602313,1,13.700000000000001
2022-01-11,ATP,ATP250,Hard,1st Round,pA,2.03,0.7202248811721802,0.4926108374384237,0.2276140437337565,1,10.299999999999997
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.33,0.9305610742419959,0.4291845493562232,0.5013765248857727,1,13.3
2022-01-11,ATP,ATP250,Hard,1st Round,pB,1.33,0.9923830986022949,0.7518796992481203,0.24050339935417464,1,3.3000000000000007
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.42,0.477741539478302,0.4132231404958678,0.06451839898243422,0,-10.0
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.17,0.5453196048736573,0.4608294930875576,0.08449011178609966,1,11.7
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.23,0.9887467350810766,0.4484304932735426,0.540316241807534,1,12.3
2022-01-11,ATP,ATP250,Hard,1st Round,pB,1.28,0.907862102240324,0.78125,0.12661210224032404,1,2.8000000000000003
2022-01-11,ATP,ATP250,Hard,2nd Round,pA,1.84,1.0,0.5434782608695652,0.4565217391304348,1,8.4
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,1.35,0.9129720523953437,0.7407407407407407,0.17223131165460304,1,3.500000000000001
2022-01-12,ATP,ATP250,Hard,2nd Round,pA,1.4,0.9643559217453003,0.7142857142857143,0.25007020745958597,1,3.999999999999999
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,1.21,0.9923830986022949,0.8264462809917356,0.16593681761055934,1,2.0999999999999996
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,1.87,0.9271084450185298,0.53475935828877,0.3923490867297599,1,8.700000000000001
2022-01-12,ATP,ATP250,Hard,2nd Round,pA,2.09,0.7823752284049987,0.47846889952153115,0.3039063288834676,0,-10.0
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,2.18,0.867778155207634,0.4587155963302752,0.4090625588773588,1,11.8
2022-01-13,ATP,ATP250,Hard,Quarterfinals,pA,2.95,0.9638620972633362,0.3389830508474576,0.6248790464158785,1,19.5
2022-01-13,ATP,ATP250,Hard,Quarterfinals,pB,1.65,0.9935467351227999,0.6060606060606061,0.3874861290621938,1,6.499999999999999
2022-01-13,ATP,ATP250,Hard,Quarterfinals,pA,2.75,0.6109864115715027,0.36363636363636365,0.24735004793513904,0,-10.0
2022-01-13,ATP,ATP250,Hard,Quarterfinals,pA,1.5,0.9890740752220154,0.6666666666666666,0.3224074085553488,1,5.0
2022-01-14,ATP,ATP250,Hard,Semifinals,pB,2.11,0.9971830986440182,0.47393364928909953,0.5232494493549187,1,11.099999999999998
2022-01-14,ATP,ATP250,Hard,Semifinals,pB,2.39,0.7719215393066406,0.41841004184100417,0.3535114974656365,1,13.900000000000002
2022-01-15,ATP,ATP250,Hard,The Final,pB,1.85,0.8022007673978806,0.5405405405405405,0.26166022685734014,1,8.5
2022-01-10,ATP,ATP250,Hard,1st Round,pA,1.65,0.656566047668457,0.6060606060606061,0.050505441607850976,0,-10.0
2022-01-10,ATP,ATP250,Hard,1st Round,pB,2.74,0.9059923540800809,0.36496350364963503,0.5410288504304459,0,-10.0
2022-01-11,ATP,ATP250,Hard,1st Round,pA,2.12,0.7499502420425415,0.4716981132075471,0.27825212883499434,1,11.200000000000001
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.69,0.9296754762530327,0.3717472118959108,0.557928264357122,0,-10.0
2022-01-11,ATP,ATP250,Hard,1st Round,pB,1.95,0.8863640144467354,0.5128205128205129,0.3735435016262225,1,9.5
2022-01-11,ATP,ATP250,Hard,1st Round,pA,2.13,0.9332759857177735,0.4694835680751174,0.4637924176426561,0,-10.0
2022-01-11,ATP,ATP250,Hard,1st Round,pB,2.51,0.5337912023067475,0.39840637450199207,0.13538482780475541,1,15.099999999999998
2022-01-12,ATP,ATP250,Hard,2nd Round,pA,2.5,0.6265268921852112,0.4,0.22652689218521116,0,-10.0
2022-01-12,ATP,ATP250,Hard,2nd Round,pA,2.49,0.5762170791625977,0.4016064257028112,0.1746106534597865,0,-10.0
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,2.45,0.7057003617286682,0.4081632653061224,0.29753709642254583,0,-10.0
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,2.46,0.6415083050727844,0.4065040650406504,0.23500424003213405,0,-10.0
2022-01-12,ATP,ATP250,Hard,2nd Round,pB,1.58,0.8174847573041916,0.6329113924050632,0.18457336489912834,1,5.800000000000001
