match,market,selection,odds,model_prob,implied_prob,edge,result,pnl,league,tier,date
Hamburg vs Schalke 04,1X2,Home,2.35,0.6425710568153815,0.425531914893617,0.2170391419217645,W,13.5,2. Bundesliga,2,2023-07-28
Fortuna Dusseldorf vs Hertha,1X2,Home,2.3,0.6183627896782045,0.4347826086956522,0.18358018098255224,W,12.999999999999998,2. Bundesliga,2,2023-07-29
Antwerp vs Cercle Brugge,1X2,Home,1.82,0.6150957577466359,0.5494505494505494,0.06564520829608655,W,8.200000000000001,Jupiler Pro League,1,2023-07-30
Braunschweig vs Holstein Kiel,O/U,Under 2.5,2.41,0.495728974304247,0.41493775933609955,0.08079121496814745,W,14.100000000000001,2. Bundesliga,2,2023-07-30
Sheffield Weds vs Southampton,1X2,Home,3.14,0.6224987282763328,0.3184713375796178,0.30402739069671497,L,-10.0,Championship,2,2023-08-04
Sutton vs Notts County,O/U,Under 2.5,2.29,0.5286474456979677,0.4366812227074236,0.09196622299054413,L,-10.0,League Two,4,2023-08-05
Cambridge vs Oxford,1X2,Home,3.03,0.45360461209779124,0.33003300330033003,0.12357160879746121,W,20.299999999999997,League One,3,2023-08-05
Blackpool vs Burton,O/U,Under 2.5,2.16,0.5348017382021489,0.4629629629629629,0.07183877523918603,W,11.600000000000001,League One,3,2023-08-05
Paris FC vs Caen,1X2,Home,2.71,0.4541075700399603,0.36900369003690037,0.0851038800030599,L,-10.0,Ligue 2,2,2023-08-05
Laval vs Angers,1X2,Home,2.57,0.503019692436891,0.38910505836575876,0.11391463407113228,W,15.7,Ligue 2,2,2023-08-05
Dunkerque vs Troyes,1X2,Home,2.67,0.4657248971884069,0.37453183520599254,0.09119306198241439,L,-10.0,Ligue 2,2,2023-08-05
Stoke vs Rotherham,O/U,Under 2.5,1.83,0.5968188466759705,0.5464480874316939,0.050370759244276586,L,-10.0,Championship,2,2023-08-05
Plymouth vs Huddersfield,1X2,Home,2.18,0.5605548416696425,0.4587155963302752,0.10183924533936733,W,11.8,Championship,2,2023-08-05
Norwich vs Hull,O/U,Under 2.5,1.82,0.6063964888268851,0.5494505494505494,0.05694593937633574,L,-10.0,Championship,2,2023-08-05
Schalke 04 vs Kaiserslautern,O/U,Under 2.5,2.25,0.49846265005960744,0.4444444444444444,0.05401820561516302,L,-10.0,2. Bundesliga,2,2023-08-05
Shrewsbury vs Cheltenham,O/U,Over 2.5,2.15,0.5253247001630543,0.46511627906976744,0.06020842109328689,L,-10.0,League One,3,2023-08-05
Derby vs Wigan,O/U,Under 2.5,1.87,0.5990157770148918,0.53475935828877,0.06425641872612187,L,-10.0,League One,3,2023-08-05
St Johnstone vs Hearts,1X2,Home,3.13,0.43370089650319293,0.3194888178913738,0.11421207861181915,L,-10.0,Premiership,1,2023-08-05
Nurnberg vs Hannover,O/U,Under 2.5,2.07,0.5366894673655154,0.48309178743961356,0.05359767992590181,L,-10.0,2. Bundesliga,2,2023-08-06
Anderlecht vs Antwerp,1X2,Away,2.58,0.5321957761965521,0.38759689922480617,0.14459887697174595,L,-10.0,Jupiler Pro League,1,2023-08-06
Westerlo vs Club Brugge,1X2,Home,3.48,0.41316515716831637,0.28735632183908044,0.12580883532923592,L,-10.0,Jupiler Pro League,1,2023-08-06
Sunderland vs Ipswich,1X2,Away,2.88,0.48499833678427656,0.3472222222222222,0.13777611456205435,W,18.799999999999997,Championship,2,2023-08-06
Nice vs Lille,O/U,Under 2.5,1.94,0.5699022047189337,0.5154639175257733,0.05443828719316046,W,9.399999999999999,Ligue 1,1,2023-08-11
Volendam vs Vitesse,O/U,Under 2.5,2.39,0.5033930862278821,0.41841004184100417,0.08498304438687798,L,-10.0,Eredivisie,1,2023-08-11
Volendam vs Vitesse,1X2,Home,3.37,0.38409701866538487,0.29673590504451036,0.08736111362087451,L,-10.0,Eredivisie,1,2023-08-11
Almeria vs Vallecano,O/U,Over 2.5,2.15,0.518167093661133,0.46511627906976744,0.05305081459136557,L,-10.0,La Liga,1,2023-08-11
Almeria vs Vallecano,1X2,Home,2.54,0.50189305537111,0.39370078740157477,0.10819226796953518,L,-10.0,La Liga,1,2023-08-11
Ipswich vs Stoke,O/U,Over 2.5,1.86,0.6512944824536484,0.5376344086021505,0.1136600738514979,L,-10.0,Championship,2,2023-08-12
Ipswich vs Stoke,1X2,Home,2.12,0.7261224774077208,0.4716981132075471,0.2544243642001737,W,11.200000000000001,Championship,2,2023-08-12
Brighton vs Luton,O/U,Under 2.5,2.34,0.5152647709221042,0.4273504273504274,0.08791434357167682,L,-10.0,Premier League,1,2023-08-12
Sheffield United vs Crystal Palace,1X2,Home,3.12,0.562679541501868,0.3205128205128205,0.24216672098904757,L,-10.0,Premier League,1,2023-08-12
Zwolle vs Sparta Rotterdam,1X2,Away,2.78,0.5504193977458125,0.3597122302158274,0.19070716752998512,W,17.799999999999997,Eredivisie,1,2023-08-12
Birmingham vs Leeds,1X2,Home,3.21,0.499139462170343,0.3115264797507788,0.1876129824195642,W,22.1,Championship,2,2023-08-12
Salford vs Crawley Town,O/U,Under 2.5,2.11,0.5367771156242787,0.47393364928909953,0.06284346633517912,W,11.099999999999998,League Two,4,2023-08-12
Notts County vs Grimsby,O/U,Under 2.5,2.09,0.5584942397271513,0.47846889952153115,0.08002534020562013,L,-10.0,League Two,4,2023-08-12
Harrogate vs Forest Green,1X2,Home,2.29,0.5618637814894254,0.4366812227074236,0.1251825587820018,L,-10.0,League Two,4,2023-08-12
AFC Wimbledon vs Wrexham,1X2,Home,3.48,0.4439882464324061,0.28735632183908044,0.15663192459332564,L,-10.0,League Two,4,2023-08-12
Wigan vs Northampton,O/U,Under 2.5,2.01,0.5846532141779633,0.49751243781094534,0.087140776367018,L,-10.0,League One,3,2023-08-12
Stevenage vs Shrewsbury,1X2,Home,2.09,0.5697753187495944,0.47846889952153115,0.09130641922806326,W,10.899999999999999,League One,3,2023-08-12
Lincoln vs Wycombe,1X2,Home,2.48,0.5024850230726272,0.40322580645161293,0.09925921662101428,W,14.8,League One,3,2023-08-12
Exeter vs Blackpool,1X2,Home,2.83,0.4718036146957352,0.35335689045936397,0.1184467242363712,L,-10.0,League One,3,2023-08-12
Quevilly Rouen vs Ajaccio,O/U,Over 2.5,2.45,0.5481835540558387,0.4081632653061224,0.14002028874971634,L,-10.0,Ligue 2,2,2023-08-12
Quevilly Rouen vs Ajaccio,1X2,Home,2.48,0.5643336396813698,0.40322580645161293,0.1611078332297569,L,-10.0,Ligue 2,2,2023-08-12
Ath Bilbao vs Real Madrid,O/U,Under 2.5,1.99,0.5569714125329093,0.5025125628140703,0.054458849718838964,W,9.9,La Liga,1,2023-08-12
Guingamp vs Dunkerque,1X2,Home,1.86,0.6118934844098649,0.5376344086021505,0.0742590758077144,L,-10.0,Ligue 2,2,2023-08-12
Caen vs Pau FC,O/U,Over 2.5,2.01,0.5491765284131367,0.49751243781094534,0.05166409060219135,L,-10.0,Ligue 2,2,2023-08-12
Santander vs Eibar,1X2,Home,2.9,0.4756098786555947,0.3448275862068966,0.1307822924486981,W,19.0,Segunda Division,2,2023-08-12
Nijmegen vs Excelsior,O/U,Under 2.5,2.4,0.5107639583124619,0.4166666666666667,0.09409729164579522,L,-10.0,Eredivisie,1,2023-08-13
Clermont vs Monaco,1X2,Home,3.48,0.5560723314163831,0.28735632183908044,0.2687160095773027,L,-10.0,Ligue 1,1,2023-08-13
Brentford vs Tottenham,1X2,Home,2.73,0.5395302666620823,0.3663003663003663,0.17322990036171598,L,-10.0,Premier League,1,2023-08-13
St Truiden vs Anderlecht,1X2,Home,3.26,0.4331971131171688,0.3067484662576687,0.12644864685950008,L,-10.0,Jupiler Pro League,1,2023-08-13
Motherwell vs Hibernian,1X2,Home,2.56,0.6071644465554745,0.390625,0.21653944655547452,W,15.600000000000001,Premiership,1,2023-08-13
Albacete vs Espanol,O/U,Over 2.5,2.16,0.5516511570156213,0.4629629629629629,0.08868819405265838,L,-10.0,Segunda Division,2,2023-08-13
Albacete vs Espanol,1X2,Home,2.98,0.525810160586479,0.33557046979865773,0.19023969078782127,L,-10.0,Segunda Division,2,2023-08-13
Chelsea vs Liverpool,1X2,Away,2.39,0.5632880755220806,0.41841004184100417,0.14487803368107643,L,-10.0,Premier League,1,2023-08-13
Sivasspor vs Samsunspor,O/U,Under 2.5,2.05,0.5435874163300989,0.48780487804878053,0.05578253828131835,W,10.499999999999998,Super Lig,1,2023-08-13
Fenerbahce vs Gaziantep,1X2,Home,1.31,0.8469784833724165,0.7633587786259541,0.08361970474646241,W,3.1000000000000005,Super Lig,1,2023-08-13
Moreirense vs Porto,O/U,Under 2.5,2.22,0.5277583081958227,0.4504504504504504,0.0773078577453723,L,-10.0,Liga Portugal,1,2023-08-14
