date,tour,series,surface,odds,model_prob,edge,won,pnl
2024-01-02,ATP,ATP250,Hard,1.76,0.7183838854289605,0.15020206724714225,0,-10.0
2024-01-02,ATP,ATP250,Hard,1.59,0.7099202821876613,0.08098946457759848,1,5.9
2024-01-02,ATP,ATP250,Hard,3.02,0.47560379960928534,0.14447797179471578,0,-10.0
2024-01-02,ATP,ATP250,Hard,1.82,0.6593768656953178,0.10992631624476845,1,8.200000000000001
2024-01-02,ATP,ATP250,Hard,2.33,0.651154172185125,0.22196962282890176,0,-10.0
2024-01-02,ATP,ATP250,Hard,2.57,0.5168240355271404,0.12771897716138164,1,15.7
2024-01-03,ATP,ATP250,Hard,1.88,0.6047579760910166,0.07284308247399529,0,-10.0
2024-01-03,ATP,ATP250,Hard,1.54,0.7236547936934894,0.07430414434284005,1,5.4
2024-01-03,ATP,ATP250,Hard,2.49,0.4526475161147432,0.051041090411932,0,-10.0
2024-01-05,ATP,ATP250,Hard,2.96,0.49597935430336804,0.1581415164655302,0,-10.0
2024-01-07,ATP,ATP250,Hard,1.93,0.5716031953764874,0.053468480350580605,1,9.299999999999999
2024-01-01,ATP,ATP250,Hard,1.7,0.6630108379000954,0.07477554378244833,0,-10.0
2024-01-01,ATP,ATP250,Hard,1.97,0.5873042622579849,0.07969004906001542,1,9.7
2024-01-01,ATP,ATP250,Hard,3.48,0.3877553557292238,0.10039903389014337,0,-10.0
2024-01-02,ATP,ATP250,Hard,2.41,0.47205797943212924,0.057120220096029684,0,-10.0
2024-01-02,ATP,ATP250,Hard,3.03,0.41274121726675395,0.08270821396642392,0,-10.0
2024-01-02,ATP,ATP250,Hard,2.66,0.4363679989857878,0.06042814936172769,1,16.6
2024-01-02,ATP,ATP250,Hard,1.56,0.7951023233836385,0.15407668235799754,1,5.6000000000000005
2024-01-02,ATP,ATP250,Hard,2.51,0.57687729913346,0.1784709246314679,0,-10.0
2024-01-03,ATP,ATP250,Hard,1.79,0.7097028315334433,0.15104361365634833,1,7.9
2024-01-03,ATP,ATP250,Hard,1.62,0.6822470689500325,0.06496311833274859,0,-10.0
2024-01-03,ATP,ATP250,Hard,1.67,0.6766106970238597,0.07780830181427878,0,-10.0
2024-01-04,ATP,ATP250,Hard,2.85,0.5995435767522483,0.24866638376979222,0,-10.0
2024-01-05,ATP,ATP250,Hard,2.83,0.5412525410780644,0.18789565061870045,1,18.3
2024-01-07,ATP,ATP250,Hard,1.29,0.846534417004571,0.07134061855495866,1,2.9000000000000004
2024-01-08,ATP,ATP250,Hard,2.15,0.5238824295480637,0.05876615047829631,0,-10.0
2024-01-08,ATP,ATP250,Hard,2.43,0.6489309590499936,0.23740832530513772,0,-10.0
2024-01-08,ATP,ATP250,Hard,2.59,0.5528763188721966,0.16677593277181046,1,15.899999999999999
2024-01-09,ATP,ATP250,Hard,2.06,0.5412525410780644,0.05581564787418092,1,10.600000000000001
2024-01-09,ATP,ATP250,Hard,1.96,0.672400579390662,0.16219649775800893,0,-10.0
2024-01-10,ATP,ATP250,Hard,1.26,0.8992786497593093,0.10562785610851566,1,2.6
2024-01-10,ATP,ATP250,Hard,2.33,0.5105502061136117,0.0813656567573885,1,13.3
2024-01-11,ATP,ATP250,Hard,2.92,0.412695737742015,0.0702299843173575,0,-10.0
2024-01-08,ATP,ATP250,Hard,2.83,0.5363918073255654,0.18303491686620138,0,-10.0
2024-01-08,ATP,ATP250,Hard,2.64,0.4739463568510299,0.09515847806315114,1,16.400000000000002
2024-01-09,ATP,ATP250,Hard,1.64,0.7099202821876613,0.10016418462668575,0,-10.0
2024-01-09,ATP,ATP250,Hard,2.96,0.4363679989857878,0.09853016114794999,1,19.6
2024-01-10,ATP,ATP250,Hard,1.46,0.7691402644319262,0.08420875758261115,1,4.6
