league,tier,total_bets,wins,hit_rate,total_pnl,roi,avg_odds,avg_edge,seasons_positive,seasons_total,season_rois
Venezuela: Primera Division,1,1132,253,0.2235,-2827.33,-24.98,3.509,0.267,0,7,"{'2008-09': -20.22, '2009-10': -29.64, '2010-11': -27.73, '2011-12': -43.05, '2012-13': -4.73, '2013-14': -39.62, '2014-15': -11.35}"
Poland: Division 2 East,3,140,34,0.2429,-354.06,-25.29,3.207,0.2414,0,2,"{'2010-11': -15.47, '2011-12': -26.3}"
Poland: Division 2 - West,3,293,67,0.2287,-751.44,-25.65,3.299,0.2642,0,2,"{'2012-13': -19.37, '2013-14': -31.55}"
Greece: Football League - Group 1,3,124,28,0.2258,-320.71,-25.86,3.476,0.2195,0,2,"{'2013-14': -25.82, '2014-15': -25.91}"
Algeria: Division 1,3,551,117,0.2123,-1435.43,-26.05,3.668,0.2655,0,5,"{'2010-11': -25.07, '2011-12': -10.78, '2012-13': -33.4, '2013-14': -42.93, '2014-15': -15.59}"
England: The Skrill North,3,291,69,0.2371,-769.15,-26.43,3.333,0.2678,0,1,{'2013-14': -26.43}
Brazil: Campeonato Gaucho,3,132,29,0.2197,-349.59,-26.48,3.442,0.2488,0,2,"{'2013-14': -35.56, '2014-15': -17.51}"
Honduras: Liga Nacional,3,540,118,0.2185,-1430.42,-26.49,3.46,0.2446,1,6,"{'2009-10': 6.43, '2010-11': -40.09, '2011-12': -24.91, '2012-13': -46.82, '2013-14': -20.41, '2014-15': -17.46}"
Germany: Oberliga Bremen,3,129,29,0.2248,-363.54,-28.18,3.338,0.3281,1,2,"{'2013-14': 2.92, '2014-15': -44.76}"
Germany: Oberliga NRW,3,125,28,0.224,-360.11,-28.81,3.45,0.2902,0,1,{'2011-12': -28.81}
Bosnia and Herzegovina: Premier League,1,433,87,0.2009,-1310.21,-30.26,3.765,0.2766,1,8,"{'2007-08': 18.61, '2008-09': -18.48, '2009-10': -52.6, '2010-11': -16.52, '2011-12': -23.27, '2012-13': -10.77, '2013-14': -52.32, '2014-15': -39.82}"
Tunisia: Ligue Professionnelle 1,3,279,56,0.2007,-855.95,-30.68,3.573,0.2405,1,6,"{'2009-10': 25.17, '2010-11': -39.31, '2011-12': -28.59, '2012-13': -25.64, '2013-14': -22.94, '2014-15': -47.86}"
