league,tier,total_bets,wins,hit_rate,total_pnl,roi,avg_odds,avg_edge,seasons_positive,seasons_total,season_rois
Germany: Junioren Bundesliga North,1,437,129,0.2952,-259.05,-5.93,3.362,0.257,2,6,"{'2009-10': -9.51, '2010-11': 1.61, '2011-12': -4.74, '2012-13': -14.22, '2013-14': 20.96, '2014-15': -27.09}"
Estonia: Meistriliiga,3,240,72,0.3,-146.97,-6.12,3.368,0.2666,3,8,"{'2007-08': 26.7, '2008-09': -20.5, '2009-10': -20.18, '2010-11': -40.16, '2011-12': 31.81, '2012-13': -30.88, '2013-14': 2.36, '2014-15': -1.18}"
Germany: Regionalliga North,4,1622,476,0.2935,-1038.56,-6.4,3.331,0.2651,2,11,"{'2004-05': -14.0, '2005-06': 0.44, '2006-07': -1.46, '2007-08': -8.6, '2008-09': -10.66, '2009-10': -7.67, '2010-11': 0.93, '2011-12': -7.56, '2012-13': -3.56, '2013-14': -11.9, '2014-15': -9.59}"
Australia: A-League,1,736,218,0.2962,-484.05,-6.58,3.411,0.2747,3,10,"{'2005-06': 44.36, '2006-07': -0.81, '2007-08': 6.65, '2008-09': -16.37, '2009-10': -0.18, '2010-11': -22.07, '2011-12': -23.5, '2012-13': -10.33, '2013-14': -20.84, '2014-15': 6.64}"
Canada: CSL,3,397,113,0.2846,-263.68,-6.64,3.427,0.2729,2,7,"{'2008-09': 24.08, '2009-10': -23.9, '2010-11': -16.89, '2011-12': -13.65, '2012-13': -15.02, '2013-14': 42.33, '2014-15': -6.25}"
Netherlands: Eerste Divisie,2,2132,613,0.2875,-1416.05,-6.64,3.415,0.264,4,11,"{'2004-05': -8.31, '2005-06': -12.11, '2006-07': -8.15, '2007-08': 2.19, '2008-09': 0.07, '2009-10': 2.25, '2010-11': -34.66, '2011-12': -18.84, '2012-13': -0.99, '2013-14': 10.83, '2014-15': -15.79}"
England: League Two,4,3371,962,0.2854,-2243.44,-6.66,3.372,0.2545,0,10,"{'2004-05': -0.73, '2005-06': -6.25, '2006-07': -10.67, '2007-08': -12.47, '2008-09': -8.93, '2009-10': -1.9, '2011-12': -3.85, '2012-13': -0.19, '2013-14': -8.21, '2014-15': -9.68}"
Norway: Division 1,3,120,35,0.2917,-80.31,-6.69,3.383,0.2548,0,2,"{'2013-14': -12.11, '2014-15': -0.5}"
Sweden: Superettan,2,1524,439,0.2881,-1022.87,-6.71,3.411,0.2592,4,11,"{'2004-05': -26.84, '2005-06': 15.55, '2006-07': 2.53, '2007-08': -4.04, '2008-09': 1.95, '2009-10': -23.5, '2010-11': 4.18, '2011-12': -17.57, '2012-13': -3.75, '2013-14': -0.71, '2014-15': -34.81}"
Germany: Regionalliga West,4,1133,338,0.2983,-768.87,-6.79,3.335,0.2653,3,7,"{'2008-09': 3.28, '2009-10': 7.34, '2010-11': 8.75, '2011-12': -0.19, '2012-13': -15.27, '2013-14': -43.3, '2014-15': -5.29}"
Russia: Division 2 - South,3,442,122,0.276,-300.86,-6.81,3.599,0.2688,1,4,"{'2011-12': -44.75, '2012-13': 41.09, '2013-14': -17.27, '2014-15': -4.49}"
Germany: Regionalliga Sudwest,3,494,143,0.2895,-337.76,-6.84,3.329,0.2764,1,3,"{'2012-13': -0.48, '2013-14': -28.33, '2014-15': 8.07}"
Norway: Division 2 - Group 4,3,607,182,0.2998,-446.94,-7.36,3.316,0.2764,2,7,"{'2008-09': -10.48, '2009-10': -22.73, '2010-11': -0.7, '2011-12': 3.11, '2012-13': -15.64, '2013-14': 0.86, '2014-15': -6.06}"
Germany: Regionalliga Bayern,4,589,173,0.2937,-444.72,-7.55,3.32,0.2598,1,3,"{'2012-13': 5.24, '2013-14': -19.18, '2014-15': -12.33}"
England: Ryman League,6,1436,423,0.2946,-1098.11,-7.65,3.29,0.2598,1,5,"{'2009-10': 14.68, '2010-11': -14.98, '2012-13': -10.89, '2013-14': -9.77, '2014-15': -13.73}"
Hungary: NB I,3,676,190,0.2811,-545.96,-8.08,3.425,0.2598,2,6,"{'2005-06': -17.18, '2006-07': 1.28, '2007-08': -36.52, '2008-09': -9.09, '2009-10': -1.68, '2010-11': 5.72}"
Germany: Bundesliga,1,1393,387,0.2778,-1137.75,-8.17,3.489,0.2625,2,10,"{'2004-05': 25.78, '2005-06': -22.62, '2006-07': -2.4, '2007-08': -8.27, '2008-09': -2.17, '2009-10': -1.53, '2011-12': -22.73, '2012-13': 9.55, '2013-14': -15.92, '2014-15': -25.36}"
England: League One,3,3183,906,0.2846,-2601.23,-8.17,3.391,0.2506,2,10,"{'2004-05': -1.75, '2005-06': -7.23, '2006-07': -18.19, '2007-08': -10.95, '2008-09': 2.15, '2009-10': -14.91, '2011-12': -18.23, '2012-13': -8.64, '2013-14': -8.93, '2014-15': 7.16}"
England: Vanarama Conference,3,296,86,0.2905,-242.71,-8.2,3.37,0.2615,0,1,{'2014-15': -8.2}
Russia: Division 1,3,989,274,0.277,-820.71,-8.3,3.471,0.2409,1,7,"{'2008-09': -1.17, '2009-10': -13.45, '2010-11': -9.08, '2011-12': 10.94, '2012-13': -6.61, '2013-14': -19.11, '2014-15': -18.78}"
Oman: Division 1,3,310,87,0.2806,-264.84,-8.54,3.368,0.2424,2,4,"{'2011-12': 0.53, '2012-13': -27.56, '2013-14': 0.82, '2014-15': -3.48}"
England: Blue Square Bet North,3,764,217,0.284,-654.36,-8.56,3.334,0.268,0,3,"{'2010-11': -15.91, '2011-12': -4.16, '2012-13': -6.55}"
England: Northern Premier League,6,1666,477,0.2863,-1448.83,-8.7,3.33,0.2651,2,6,"{'2009-10': -15.26, '2010-11': 9.36, '2011-12': 2.93, '2012-13': -7.62, '2013-14': -18.25, '2014-15': -20.27}"
Spain: Segunda Division,2,2719,743,0.2733,-2480.24,-9.12,3.52,0.2515,3,10,"{'2004-05': 7.09, '2005-06': -20.0, '2006-07': 7.09, '2007-08': -11.63, '2008-09': -23.2, '2009-10': -3.78, '2011-12': -10.09, '2012-13': -12.6, '2013-14': 6.16, '2014-15': -24.01}"
Poland: Division 2 - East,3,363,102,0.281,-331.15,-9.12,3.294,0.2497,0,2,"{'2012-13': -14.17, '2013-14': -4.21}"
Hong Kong: Division 1,3,116,31,0.2672,-106.61,-9.19,3.434,0.2366,1,4,"{'2011-12': -40.28, '2012-13': -3.21, '2013-14': -36.97, '2014-15': 59.46}"
Lithuania: A Lyga,3,360,100,0.2778,-334.82,-9.3,3.422,0.2502,3,10,"{'2005-06': -55.94, '2006-07': -16.72, '2007-08': -31.75, '2008-09': 20.94, '2009-10': -32.57, '2010-11': -8.03, '2011-12': 19.3, '2012-13': -1.78, '2013-14': 11.97, '2014-15': -23.73}"
Switzerland: Challenge League,2,1459,412,0.2824,-1362.8,-9.34,3.392,0.2691,3,11,"{'2004-05': 36.83, '2005-06': -17.24, '2006-07': -24.23, '2007-08': -4.59, '2008-09': 2.33, '2009-10': -23.5, '2010-11': 13.4, '2011-12': -20.1, '2012-13': -7.03, '2013-14': -9.01, '2014-15': -19.14}"
Germany: Oberliga NOFV-Nord,3,466,135,0.2897,-442.55,-9.5,3.325,0.2812,1,4,"{'2011-12': 4.14, '2012-13': -9.64, '2013-14': -5.59, '2014-15': -21.03}"
Finland: Kakkonen North,3,229,63,0.2751,-217.9,-9.52,3.412,0.2754,1,4,"{'2011-12': -1.6, '2012-13': -11.15, '2013-14': -22.48, '2014-15': 0.16}"
Denmark: Superliga,1,1120,307,0.2741,-1075.15,-9.6,3.43,0.2592,2,11,"{'2004-05': -24.12, '2005-06': -14.76, '2006-07': -23.39, '2007-08': -9.71, '2008-09': -20.32, '2009-10': 2.09, '2010-11': -14.77, '2011-12': -0.58, '2012-13': -0.89, '2013-14': -8.55, '2014-15': 0.33}"
Poland: Ekstraklasa,1,984,263,0.2673,-946.09,-9.61,3.446,0.2674,0,7,"{'2008-09': -3.8, '2009-10': -29.64, '2010-11': -9.62, '2011-12': -12.64, '2012-13': -0.2, '2013-14': -4.71, '2014-15': -11.95}"
Peru: Primera Division,1,1246,343,0.2753,-1202.0,-9.65,3.52,0.2628,2,10,"{'2005-06': -7.21, '2006-07': 0.49, '2007-08': -14.51, '2008-09': -6.34, '2009-10': -10.72, '2010-11': 3.08, '2011-12': -26.04, '2012-13': -22.0, '2013-14': -7.14, '2014-15': -5.12}"
England: Premier League,1,1582,429,0.2712,-1542.14,-9.75,3.516,0.2634,2,10,"{'2004-05': -27.65, '2005-06': 7.1, '2006-07': -8.9, '2007-08': -25.68, '2008-09': -6.0, '2009-10': -13.54, '2011-12': 6.42, '2012-13': -20.27, '2013-14': -9.95, '2014-15': -7.55}"
Romania: Division 2/Serie A,1,414,114,0.2754,-409.23,-9.88,3.485,0.2778,2,5,"{'2007-08': 86.18, '2008-09': 58.35, '2009-10': -15.1, '2010-11': -39.08, '2011-12': -23.4}"
Germany: 2. Bundesliga,2,1735,473,0.2726,-1751.05,-10.09,3.436,0.2543,2,11,"{'2004-05': 5.07, '2005-06': -9.81, '2006-07': -17.76, '2007-08': -9.28, '2008-09': -15.34, '2009-10': -8.69, '2010-11': -17.48, '2011-12': -22.05, '2012-13': -3.14, '2013-14': 5.53, '2014-15': -6.62}"
North &amp; Central America: CONCACAF Champions L,3,165,50,0.303,-167.12,-10.13,3.27,0.2439,1,6,"{'2009-10': -13.74, '2010-11': -5.97, '2011-12': 38.65, '2012-13': -57.9, '2013-14': -35.67, '2014-15': -26.09}"
England: Championship,2,3218,888,0.2759,-3311.83,-10.29,3.429,0.2526,1,10,"{'2004-05': -18.85, '2005-06': -30.53, '2006-07': -7.76, '2007-08': -10.83, '2008-09': -11.28, '2009-10': -12.97, '2011-12': 4.95, '2012-13': -10.53, '2013-14': -7.81, '2014-15': -4.32}"
Austria: Regionalliga West,3,857,233,0.2719,-885.04,-10.33,3.437,0.2883,0,7,"{'2008-09': -3.09, '2009-10': -2.62, '2010-11': -32.45, '2011-12': -9.23, '2012-13': -12.33, '2013-14': -6.49, '2014-15': -1.92}"
Turkey: Super Lig,1,1597,439,0.2749,-1666.38,-10.43,3.461,0.2551,1,11,"{'2004-05': -28.11, '2005-06': 1.63, '2006-07': -9.76, '2007-08': -20.19, '2008-09': -8.22, '2009-10': -17.31, '2010-11': -28.63, '2011-12': -5.16, '2012-13': -7.53, '2013-14': -0.77, '2014-15': -5.87}"
Romania: Division 2/Serie 1,3,223,62,0.278,-237.33,-10.64,3.475,0.2756,1,3,"{'2012-13': 26.21, '2013-14': -31.96, '2014-15': -24.92}"
Switzerland: 1.Liga Promotion,3,147,42,0.2857,-157.46,-10.71,3.249,0.231,1,3,"{'2012-13': -33.37, '2013-14': -19.48, '2014-15': 5.48}"
Germany: Oberliga Sudwest,3,148,41,0.277,-159.39,-10.77,3.283,0.2395,0,1,{'2011-12': -10.77}
Scotland: Division 1,3,788,223,0.283,-851.71,-10.81,3.295,0.256,3,8,"{'2004-05': -18.35, '2005-06': -44.91, '2006-07': 0.42, '2007-08': -23.06, '2008-09': 8.47, '2009-10': 2.42, '2011-12': -15.15, '2012-13': -12.33}"
Czech Republic: Pohar CMFS,3,80,26,0.325,-86.52,-10.81,2.861,0.303,1,4,"{'2006-07': -42.77, '2007-08': -19.47, '2008-09': -6.93, '2009-10': 2.47}"
Russia: Division 2 - West,3,388,103,0.2655,-419.89,-10.82,3.5,0.2769,1,5,"{'2010-11': -25.73, '2011-12': -25.55, '2012-13': -2.7, '2013-14': -24.61, '2014-15': 12.85}"
Argentina: Primera Division,1,2331,632,0.2711,-2545.1,-10.92,3.446,0.2553,0,11,"{'2004-05': -29.84, '2005-06': -13.61, '2006-07': -5.94, '2007-08': -1.13, '2008-09': -0.61, '2009-10': -5.13, '2010-11': -8.6, '2011-12': -17.49, '2012-13': -28.2, '2013-14': -14.41, '2014-15': -6.35}"
Japan: J-League Division 2,2,1761,490,0.2783,-1924.41,-10.93,3.372,0.2539,1,8,"{'2007-08': -26.49, '2008-09': -13.74, '2009-10': -20.05, '2010-11': -2.73, '2011-12': -0.98, '2012-13': -21.53, '2013-14': 0.27, '2014-15': -11.61}"
Germany: Oberliga Niedersachsen,3,416,116,0.2788,-455.09,-10.94,3.335,0.2742,1,4,"{'2011-12': -29.64, '2012-13': -15.63, '2013-14': 4.01, '2014-15': -8.53}"
Slovenia: Prva liga,3,879,248,0.2821,-965.79,-10.99,3.406,0.2647,0,10,"{'2005-06': -8.56, '2006-07': -12.56, '2007-08': -12.83, '2008-09': -11.18, '2009-10': -4.44, '2010-11': -17.12, '2011-12': -23.6, '2012-13': -0.58, '2013-14': -9.27, '2014-15': -9.71}"
England: Nationwide Conference,3,718,198,0.2758,-797.96,-11.11,3.431,0.2628,0,3,"{'2004-05': -26.34, '2005-06': -17.16, '2006-07': -1.14}"
Portugal: Primeira Liga,1,1212,326,0.269,-1360.18,-11.22,3.49,0.2558,1,11,"{'2004-05': -2.27, '2005-06': -5.44, '2006-07': -2.44, '2007-08': -24.67, '2008-09': -40.1, '2009-10': -9.84, '2010-11': -30.79, '2011-12': -11.67, '2012-13': -4.41, '2013-14': -9.44, '2014-15': 12.88}"
England: The Skrill South,3,304,85,0.2796,-343.47,-11.3,3.333,0.2779,0,1,{'2013-14': -11.3}
Malta: Premier League,1,376,104,0.2766,-426.75,-11.35,3.368,0.2631,3,7,"{'2008-09': 36.21, '2009-10': -18.67, '2010-11': 0.38, '2011-12': -13.42, '2012-13': -16.93, '2013-14': 3.62, '2014-15': -37.16}"
Sweden: Allsvenskan,1,1098,299,0.2723,-1246.35,-11.35,3.429,0.2632,1,11,"{'2004-05': -13.75, '2005-06': -39.25, '2006-07': -4.87, '2007-08': -14.04, '2008-09': -12.45, '2009-10': 10.88, '2010-11': -4.45, '2011-12': -4.09, '2012-13': -28.15, '2013-14': -17.4, '2014-15': -6.41}"
Russia: Premier League,1,1088,293,0.2693,-1261.65,-11.6,3.478,0.253,0,11,"{'2004-05': -0.03, '2005-06': -32.49, '2006-07': -22.26, '2007-08': -4.04, '2008-09': -14.64, '2009-10': -0.5, '2010-11': -19.77, '2011-12': -1.41, '2012-13': -23.14, '2013-14': -6.15, '2014-15': -0.01}"
Czech Republic: Division 2,3,1153,309,0.268,-1345.77,-11.67,3.487,0.2716,1,10,"{'2005-06': -4.44, '2006-07': -14.37, '2007-08': -10.42, '2008-09': -31.47, '2009-10': -19.24, '2010-11': -56.52, '2011-12': -1.76, '2012-13': -16.9, '2013-14': 9.25, '2014-15': -7.08}"
Belarus: Vysshaya Liga,3,747,198,0.2651,-884.91,-11.85,3.469,0.2532,3,9,"{'2006-07': 27.56, '2007-08': 0.52, '2008-09': -9.35, '2009-10': 2.25, '2010-11': -14.47, '2011-12': -20.25, '2012-13': -30.75, '2013-14': -8.19, '2014-15': -23.23}"
Turkey: Bank Asya 1. Lig,3,1221,340,0.2785,-1451.14,-11.88,3.361,0.253,1,8,"{'2004-05': 13.95, '2005-06': -25.54, '2006-07': -9.85, '2007-08': -13.09, '2008-09': -4.62, '2009-10': -8.08, '2010-11': -25.87, '2011-12': -6.91}"
Austria: Regionalliga East,3,898,246,0.2739,-1085.92,-12.09,3.335,0.2757,2,7,"{'2008-09': -27.48, '2009-10': -6.9, '2010-11': 1.6, '2011-12': -12.84, '2012-13': -36.42, '2013-14': 2.58, '2014-15': -10.07}"
Armenia: Premier League,1,323,87,0.2693,-392.3,-12.15,3.412,0.2737,1,7,"{'2008-09': -13.84, '2009-10': -12.59, '2010-11': 18.62, '2011-12': -24.53, '2012-13': -18.17, '2013-14': -24.02, '2014-15': -5.39}"
Belgium: EXQI League,3,1114,301,0.2702,-1358.0,-12.19,3.375,0.2632,1,6,"{'2005-06': -21.12, '2006-07': -8.45, '2007-08': 2.97, '2008-09': -13.54, '2009-10': -18.88, '2011-12': -16.32}"
Denmark: 2nd Division West,3,1175,326,0.2774,-1440.35,-12.26,3.354,0.2674,2,9,"{'2006-07': 15.95, '2007-08': -23.54, '2008-09': -11.0, '2009-10': -24.29, '2010-11': 6.6, '2011-12': -8.75, '2012-13': -14.35, '2013-14': -20.77, '2014-15': -20.86}"
Malaysia: Super League,3,327,84,0.2569,-413.15,-12.63,3.592,0.2559,0,6,"{'2009-10': -43.0, '2010-11': -15.48, '2011-12': -13.75, '2012-13': -5.13, '2013-14': -17.4, '2014-15': -6.43}"
Malaysia: Premier League,1,164,44,0.2683,-207.78,-12.67,3.491,0.2415,0,4,"{'2011-12': -18.71, '2012-13': -16.26, '2013-14': -2.09, '2014-15': -17.78}"
England: Southern Premier League,6,1650,452,0.2739,-2099.26,-12.72,3.36,0.2798,1,6,"{'2009-10': -37.52, '2010-11': -8.51, '2011-12': -7.24, '2012-13': 4.25, '2013-14': -12.22, '2014-15': -15.4}"
Greece: B Ethniki,3,221,55,0.2489,-281.42,-12.73,3.702,0.264,0,2,"{'2006-07': -21.68, '2007-08': -5.34}"
Wales: Premier,3,1054,282,0.2676,-1344.32,-12.75,3.387,0.285,3,8,"{'2005-06': 9.28, '2006-07': -15.44, '2007-08': -13.56, '2008-09': -23.11, '2009-10': -41.05, '2011-12': -13.38, '2012-13': 0.91, '2013-14': 0.07}"
Germany: Regionalliga South,4,1153,316,0.2741,-1481.97,-12.85,3.343,0.2656,1,8,"{'2004-05': 6.32, '2005-06': -13.76, '2006-07': -3.82, '2007-08': -12.35, '2008-09': -27.36, '2009-10': -31.14, '2010-11': -7.59, '2011-12': -0.24}"
England: Blue Square Premier,5,914,246,0.2691,-1176.5,-12.87,3.414,0.2585,0,3,"{'2007-08': -8.6, '2008-09': -22.22, '2009-10': -8.13}"
Belgium: Jupiler League,1,1628,438,0.269,-2096.42,-12.88,3.438,0.2688,1,11,"{'2004-05': -0.6, '2005-06': -9.52, '2006-07': -36.0, '2007-08': -23.74, '2008-09': -2.46, '2009-10': -16.28, '2010-11': -31.02, '2011-12': -10.76, '2012-13': -1.53, '2013-14': 8.97, '2014-15': -11.05}"
South Korea: National League,2,339,91,0.2684,-439.5,-12.96,3.356,0.2495,1,5,"{'2010-11': 15.35, '2011-12': -22.24, '2012-13': -6.21, '2013-14': -5.21, '2014-15': -20.58}"
Germany: Oberliga Niederrhein,3,588,164,0.2789,-763.32,-12.98,3.288,0.2741,0,3,"{'2012-13': -6.42, '2013-14': -18.41, '2014-15': -14.4}"
Czech Republic: CFL,3,533,146,0.2739,-702.51,-13.18,3.407,0.2796,1,6,"{'2009-10': -19.13, '2010-11': -22.03, '2011-12': -9.52, '2012-13': 15.37, '2013-14': -9.57, '2014-15': -23.79}"
Germany: Oberliga Bayern Nord,3,529,139,0.2628,-697.98,-13.19,3.394,0.2879,0,3,"{'2012-13': -0.95, '2013-14': -11.85, '2014-15': -25.81}"
France: National,3,1822,481,0.264,-2403.07,-13.19,3.448,0.2525,1,9,"{'2005-06': -14.96, '2006-07': -7.04, '2007-08': 11.3, '2008-09': -15.52, '2009-10': -20.63, '2011-12': -6.02, '2012-13': -23.08, '2013-14': -29.19, '2014-15': -17.96}"
Norway: Tippeligaen,1,1293,347,0.2684,-1726.2,-13.35,3.445,0.2693,3,11,"{'2004-05': -39.97, '2005-06': -11.16, '2006-07': -16.4, '2007-08': -2.16, '2008-09': 4.6, '2009-10': -35.47, '2010-11': 4.0, '2011-12': -33.25, '2012-13': 3.74, '2013-14': -20.84, '2014-15': -21.05}"
Luxembourg: National Division,3,261,71,0.272,-351.87,-13.48,3.347,0.2805,1,4,"{'2011-12': -0.91, '2012-13': 14.28, '2013-14': -36.78, '2014-15': -29.6}"
Israel: Ligat ha'Al,3,1171,313,0.2673,-1578.5,-13.48,3.326,0.2514,0,10,"{'2005-06': -35.3, '2006-07': -12.35, '2007-08': -21.96, '2008-09': -7.74, '2009-10': -20.31, '2010-11': -8.25, '2011-12': -11.41, '2012-13': -4.52, '2013-14': -18.74, '2014-15': -2.14}"
Norway: Division 2 - Group 2,3,591,162,0.2741,-808.29,-13.68,3.342,0.2798,1,7,"{'2008-09': 0.85, '2009-10': -10.25, '2010-11': -9.83, '2011-12': -23.49, '2012-13': -26.8, '2013-14': -0.08, '2014-15': -18.95}"
Italy: Lega Pro C1/A,3,497,127,0.2555,-682.96,-13.74,3.482,0.2473,0,3,"{'2011-12': -2.98, '2012-13': -15.7, '2013-14': -24.93}"
Northern Ireland: IFA Premiership,3,1132,310,0.2739,-1557.0,-13.75,3.344,0.2642,0,10,"{'2005-06': -6.95, '2006-07': -9.35, '2007-08': -13.35, '2008-09': -27.21, '2009-10': -6.09, '2010-11': -16.73, '2011-12': -9.56, '2012-13': -30.89, '2013-14': -2.94, '2014-15': -13.85}"
Ecuador: Serie A,1,1075,285,0.2651,-1489.52,-13.86,3.477,0.262,2,9,"{'2006-07': -29.29, '2007-08': -27.25, '2008-09': 11.54, '2009-10': -22.04, '2010-11': -17.98, '2011-12': 5.96, '2012-13': -15.52, '2013-14': -17.52, '2014-15': -23.52}"
Germany: Regionalliga Nordost,3,426,118,0.277,-594.02,-13.94,3.369,0.2758,1,3,"{'2012-13': -38.98, '2013-14': 5.14, '2014-15': -12.78}"
Spain: Segunda Division B - Group 2,2,1276,331,0.2594,-1780.82,-13.96,3.483,0.2572,1,7,"{'2008-09': -1.06, '2009-10': -16.75, '2010-11': -24.94, '2011-12': -25.14, '2012-13': -18.53, '2013-14': -13.91, '2014-15': 8.84}"
Croatia: 1. HNL,1,674,180,0.2671,-941.61,-13.97,3.448,0.2725,2,10,"{'2004-05': -64.13, '2005-06': 10.78, '2006-07': -15.66, '2007-08': -35.26, '2008-09': -10.72, '2009-10': -25.9, '2011-12': -7.02, '2012-13': -8.23, '2013-14': -28.28, '2014-15': 2.56}"
Sweden: Division 2 - Norrland,3,365,96,0.263,-512.21,-14.03,3.42,0.2781,0,7,"{'2008-09': -5.56, '2009-10': -19.3, '2010-11': -9.42, '2011-12': -24.54, '2012-13': -7.28, '2013-14': -8.66, '2014-15': -17.23}"
Turkey: TFF 2. Lig Red Group,3,650,170,0.2615,-914.07,-14.06,3.442,0.2412,0,5,"{'2010-11': -18.73, '2011-12': -8.35, '2012-13': -7.17, '2013-14': -17.79, '2014-15': -15.94}"
France: Ligue 1,1,1812,468,0.2583,-2549.45,-14.07,3.551,0.2539,1,10,"{'2004-05': -50.5, '2005-06': -20.03, '2006-07': -22.71, '2007-08': -1.23, '2008-09': -19.08, '2009-10': -10.62, '2011-12': -10.17, '2012-13': -19.07, '2013-14': -14.93, '2014-15': 3.71}"
Denmark: 1st Division,3,941,252,0.2678,-1329.61,-14.13,3.418,0.2637,0,9,"{'2004-05': -12.26, '2005-06': -4.14, '2006-07': -5.42, '2007-08': -25.03, '2008-09': -52.3, '2009-10': -13.22, '2010-11': -11.25, '2011-12': -3.75, '2012-13': -1.33}"
Poland: Division 2,3,153,43,0.281,-220.46,-14.41,3.18,0.225,0,1,{'2014-15': -14.41}
Greece: Super League,1,974,251,0.2577,-1404.11,-14.42,3.566,0.2599,2,10,"{'2004-05': -38.97, '2005-06': -33.43, '2006-07': 6.14, '2007-08': -4.96, '2008-09': -22.98, '2009-10': -7.03, '2011-12': 3.3, '2012-13': -31.9, '2013-14': -17.07, '2014-15': -8.0}"
Switzerland: Super League,1,1002,262,0.2615,-1474.11,-14.71,3.449,0.2804,2,11,"{'2004-05': -15.89, '2005-06': -38.26, '2006-07': -17.84, '2007-08': -12.8, '2008-09': -32.41, '2009-10': 15.12, '2010-11': -21.67, '2011-12': 17.41, '2012-13': -19.39, '2013-14': -2.03, '2014-15': -32.08}"
Germany: Oberliga Rheinland-Pfalz/Saar,3,535,148,0.2766,-791.2,-14.79,3.252,0.2822,0,3,"{'2012-13': -10.79, '2013-14': -23.86, '2014-15': -9.49}"
Mexico: Liga de Ascenso,3,805,207,0.2571,-1198.46,-14.89,3.403,0.2474,1,6,"{'2009-10': 9.99, '2010-11': -11.55, '2011-12': -6.81, '2012-13': -5.26, '2013-14': -28.88, '2014-15': -28.73}"
Slovakia: Corgon Liga,3,831,215,0.2587,-1241.57,-14.94,3.469,0.2662,2,9,"{'2005-06': -16.66, '2006-07': -36.3, '2007-08': -44.94, '2008-09': -11.25, '2009-10': -21.8, '2010-11': 9.39, '2011-12': -22.04, '2012-13': -6.68, '2013-14': 11.8}"
Italy: Serie A,1,1671,417,0.2496,-2496.27,-14.94,3.58,0.2552,0,10,"{'2004-05': -15.47, '2005-06': -15.08, '2006-07': -13.73, '2007-08': -9.34, '2008-09': -11.49, '2009-10': -21.94, '2011-12': -6.98, '2012-13': -21.24, '2013-14': -26.1, '2014-15': -8.79}"
Germany: Oberliga Westfalen,3,541,149,0.2754,-811.52,-15.0,3.298,0.2842,0,3,"{'2012-13': -19.16, '2013-14': -18.47, '2014-15': -7.92}"
Moldova: Divizia Nationala,3,242,63,0.2603,-364.2,-15.05,3.44,0.2694,1,7,"{'2008-09': -7.46, '2009-10': -36.61, '2010-11': -0.88, '2011-12': -1.18, '2012-13': 17.7, '2013-14': -55.44, '2014-15': -48.2}"
Cyprus: First Division,3,683,183,0.2679,-1038.58,-15.21,3.424,0.2553,0,9,"{'2006-07': -5.58, '2007-08': -7.87, '2008-09': -20.74, '2009-10': -30.6, '2010-11': -14.06, '2011-12': -13.76, '2012-13': -20.51, '2013-14': -21.13, '2014-15': -1.48}"
Austria: tipp3-Bundesliga,1,268,70,0.2612,-410.86,-15.33,3.465,0.2778,0,3,"{'2011-12': -36.68, '2012-13': -11.72, '2013-14': -2.3}"
Ukraine: Premier League,1,770,196,0.2545,-1181.54,-15.34,3.508,0.2543,1,10,"{'2005-06': 53.56, '2006-07': -19.98, '2007-08': -18.97, '2008-09': -26.8, '2009-10': -10.64, '2010-11': -3.77, '2011-12': -33.4, '2012-13': -24.43, '2013-14': -22.77, '2014-15': -25.66}"
England: The Skrill Premier,3,339,92,0.2714,-520.57,-15.36,3.347,0.2667,0,1,{'2013-14': -15.36}
Vietnam: V-League,3,288,75,0.2604,-444.56,-15.44,3.368,0.2475,1,6,"{'2009-10': -38.84, '2010-11': 24.83, '2011-12': -57.64, '2012-13': -9.44, '2013-14': -6.8, '2014-15': -15.76}"
Turkey: TFF 3. Lig Group 1,3,243,64,0.2634,-377.18,-15.52,3.371,0.2251,0,5,"{'2010-11': -30.61, '2011-12': -2.88, '2012-13': -7.59, '2013-14': -5.44, '2014-15': -55.18}"
Germany: 3. Liga,3,1556,407,0.2616,-2420.94,-15.56,3.397,0.2653,1,7,"{'2008-09': -30.3, '2009-10': -7.94, '2010-11': -23.74, '2011-12': -19.08, '2012-13': -25.47, '2013-14': 0.77, '2014-15': -2.95}"
Uzbekistan: Professional Football League,3,144,36,0.25,-225.62,-15.67,3.628,0.2719,0,5,"{'2010-11': -31.39, '2011-12': -12.03, '2012-13': -22.91, '2013-14': -5.79, '2014-15': -6.62}"
Mexico: Primera Division,1,2642,695,0.2631,-4161.0,-15.75,3.396,0.2668,2,11,"{'2004-05': -18.9, '2005-06': 0.22, '2006-07': -34.9, '2007-08': -16.09, '2008-09': 5.02, '2009-10': -21.65, '2010-11': -7.72, '2011-12': -13.38, '2012-13': -9.96, '2013-14': -28.74, '2014-15': -13.16}"
Austria: ADEG Erste Liga,3,286,75,0.2622,-452.11,-15.81,3.438,0.2728,0,4,"{'2004-05': -100.0, '2005-06': -20.72, '2006-07': -3.85, '2007-08': -5.86}"
Norway: Division 2 - Group 3,3,684,188,0.2749,-1086.67,-15.89,3.307,0.2668,0,7,"{'2008-09': -34.93, '2009-10': -4.0, '2010-11': -4.87, '2011-12': -25.25, '2012-13': -23.0, '2013-14': -7.68, '2014-15': -22.87}"
Kazakhstan: Premier League,1,440,112,0.2545,-700.38,-15.92,3.523,0.2661,1,6,"{'2009-10': -9.78, '2010-11': 4.58, '2011-12': -26.36, '2012-13': -27.11, '2013-14': -2.94, '2014-15': -26.19}"
