date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-01-03,WTA,WTA500,Hard,1st Round,pA,1.45,0.9961405873298645,0.6896551724137931,0.3064854149160714,1,4.5
2022-01-03,WTA,WTA500,Hard,1st Round,pB,3.45,0.39249395132064824,0.2898550724637681,0.10263887885688011,0,-10.0
2022-01-03,WTA,WTA500,Hard,1st Round,pA,1.65,0.96831716299057,0.6060606060606061,0.36225655692996395,1,6.499999999999999
2022-01-04,WTA,WTA500,Hard,1st Round,pB,1.23,0.9987679671496152,0.8130081300813008,0.18575983706831445,1,2.3
2022-01-04,WTA,WTA500,Hard,1st Round,pB,1.21,0.9987679671496152,0.8264462809917356,0.17232168615787968,1,2.0999999999999996
2022-01-04,WTA,WTA500,Hard,1st Round,pA,1.99,0.983349084854126,0.5025125628140703,0.48083652204005567,1,9.9
2022-01-04,WTA,WTA500,Hard,1st Round,pB,1.81,0.6775310218334198,0.5524861878453039,0.12504483398811594,0,-10.0
2022-01-05,WTA,WTA500,Hard,2nd Round,pB,1.38,0.8887662932276725,0.7246376811594204,0.16412861206825213,1,3.799999999999999
2022-01-06,WTA,WTA500,Hard,2nd Round,pB,1.95,0.6010814368724823,0.5128205128205129,0.08826092405196939,1,9.5
2022-01-07,WTA,WTA500,Hard,Quarterfinals,pB,2.6,0.45004720687866206,0.3846153846153846,0.06543182226327748,1,16.0
2022-01-07,WTA,WTA500,Hard,Quarterfinals,pB,2.05,0.5553845405578614,0.48780487804878053,0.06757966250908082,0,-10.0
2022-01-08,WTA,WTA500,Hard,Semifinals,pA,1.55,0.7453954100608826,0.6451612903225806,0.10023411973830199,1,5.5
2022-01-04,WTA,WTA250,Hard,1st Round,pB,1.79,0.6087219715118408,0.5586592178770949,0.05006275363474588,0,-10.0
2022-01-04,WTA,WTA250,Hard,1st Round,pA,2.18,0.5280073881149292,0.4587155963302752,0.069291791784654,0,-10.0
2022-01-04,WTA,WTA250,Hard,1st Round,pA,2.06,0.5884933114051819,0.4854368932038835,0.1030564182012984,0,-10.0
2022-01-05,WTA,WTA250,Hard,1st Round,pB,2.98,0.4230318188667297,0.33557046979865773,0.08746134906807196,0,-10.0
