date,tour,series,surface,odds,model_prob,edge,won,pnl
2022-01-03,ATP,ATP250,Hard,2.38,0.46920604109764097,0.04903797387075021,1,13.799999999999999
2022-01-03,ATP,ATP250,Hard,2.1,0.5653800904750824,0.08918961428460626,1,11.0
2022-01-04,ATP,ATP250,Hard,2.64,0.456639039516449,0.07785116072857023,1,16.400000000000002
2022-01-04,ATP,ATP250,Hard,1.73,0.6476173102855682,0.06958262820464334,0,-10.0
2022-01-04,ATP,ATP250,Hard,2.89,0.4312482953071594,0.0852275340614847,1,18.900000000000002
2022-01-04,ATP,ATP250,Hard,3.35,0.37856799364089966,0.08006053095433252,0,-10.0
2022-01-04,ATP,ATP250,Hard,1.9,0.63743816614151,0.11112237666782587,1,9.0
2022-01-04,ATP,ATP250,Hard,2.03,0.5664166212081909,0.07380578376976721,0,-10.0
2022-01-05,ATP,ATP250,Hard,1.3,0.8302924036979675,0.06106163446719837,1,3.0000000000000004
2022-01-05,ATP,ATP250,Hard,2.31,0.5072017788887024,0.07430134598826954,1,13.100000000000001
2022-01-05,ATP,ATP250,Hard,1.63,0.6736888706684112,0.060191938153073776,0,-10.0
2022-01-06,ATP,ATP250,Hard,2.18,0.5455731153488159,0.08685751901854072,0,-10.0
2022-01-06,ATP,ATP250,Hard,3.91,0.2972331166267395,0.04147864092341469,0,-10.0
2022-01-07,ATP,ATP250,Hard,3.81,0.3123469233512879,0.04987973175023802,0,-10.0
2022-01-07,ATP,ATP250,Hard,2.26,0.5350536644458771,0.09257578833968239,0,-10.0
2022-01-09,ATP,ATP250,Hard,2.34,0.4969330847263336,0.06958265737590619,0,-10.0
2022-01-04,ATP,ATP250,Hard,2.67,0.46842892169952394,0.0938970864935314,0,-10.0
2022-01-04,ATP,ATP250,Hard,3.05,0.45012768507003786,0.12225883261102144,0,-10.0
2022-01-05,ATP,ATP250,Hard,1.63,0.7050571978092194,0.09156026529388195,0,-10.0
2022-01-05,ATP,ATP250,Hard,1.92,0.6198672175407409,0.09903388420740755,1,9.2
2022-01-05,ATP,ATP250,Hard,1.48,0.7346923112869262,0.05901663561125059,1,4.8
2022-01-05,ATP,ATP250,Hard,3.1,0.36351293325424194,0.04093228809295163,0,-10.0
2022-01-05,ATP,ATP250,Hard,2.19,0.4973959147930145,0.040774910226804406,0,-10.0
2022-01-05,ATP,ATP250,Hard,1.43,0.8081316947937012,0.10883099549300179,0,-10.0
2022-01-06,ATP,ATP250,Hard,2.38,0.4912601709365845,0.07109210370969371,0,-10.0
2022-01-06,ATP,ATP250,Hard,1.71,0.7794133305549622,0.19461800891753533,0,-10.0
2022-01-06,ATP,ATP250,Hard,1.64,0.7248855710029602,0.11512947344198465,0,-10.0
2022-01-07,ATP,ATP250,Hard,1.73,0.7338761448860168,0.15584146280509192,1,7.3
2022-01-08,ATP,ATP250,Hard,3.2,0.3493854463100433,0.03688544631004331,1,22.0
2022-01-10,ATP,ATP250,Hard,1.79,0.654372262954712,0.09571304507761702,0,-10.0
2022-01-10,ATP,ATP250,Hard,2.07,0.5506459534168243,0.06755416597721076,1,10.7
2022-01-10,ATP,ATP250,Hard,2.37,0.5270744919776916,0.10513356370764948,1,13.700000000000001
2022-01-10,ATP,ATP250,Hard,1.71,0.6353564500808716,0.050561128443444736,0,-10.0
2022-01-11,ATP,ATP250,Hard,1.59,0.7136343717575073,0.08470355414744446,0,-10.0
2022-01-11,ATP,ATP250,Hard,3.29,0.399754798412323,0.09580343063116797,0,-10.0
2022-01-11,ATP,ATP250,Hard,2.42,0.47110313177108765,0.057879991275219866,0,-10.0
2022-01-11,ATP,ATP250,Hard,2.17,0.5350536644458771,0.07422417135831949,1,11.7
2022-01-11,ATP,ATP250,Hard,2.23,0.5126212179660797,0.06419072469253712,1,12.3
2022-01-11,ATP,ATP250,Hard,3.64,0.4179326295852661,0.14320735485999142,0,-10.0
2022-01-12,ATP,ATP250,Hard,1.35,0.8088397681713104,0.06809902743056973,1,3.500000000000001
2022-01-12,ATP,ATP250,Hard,2.95,0.369704270362854,0.030721219515396414,0,-10.0
2022-01-12,ATP,ATP250,Hard,4.33,0.3109512746334076,0.08000439241631754,0,-10.0
2022-01-12,ATP,ATP250,Hard,2.09,0.738674545288086,0.2602056457665548,0,-10.0
2022-01-13,ATP,ATP250,Hard,2.95,0.389424467086792,0.0504414162393344,1,19.5
2022-01-13,ATP,ATP250,Hard,2.75,0.39775857925415037,0.03412221561778672,0,-10.0
2022-01-14,ATP,ATP250,Hard,2.11,0.5778993010520935,0.103965651762994,1,11.099999999999998
2022-01-14,ATP,ATP250,Hard,1.58,0.7234715938568115,0.09056020145174826,0,-10.0
2022-01-10,ATP,ATP250,Hard,1.65,0.6458917498588562,0.039831143798250146,0,-10.0
2022-01-10,ATP,ATP250,Hard,2.74,0.4450626611709595,0.08009915752132446,0,-10.0
2022-01-11,ATP,ATP250,Hard,2.12,0.7987207293510437,0.32702261614349654,1,11.200000000000001
2022-01-11,ATP,ATP250,Hard,2.51,0.4633560836315155,0.06494970912952341,1,15.099999999999998
2022-01-11,ATP,ATP250,Hard,2.51,0.5269509732723237,0.1285445987703316,1,15.099999999999998
2022-01-12,ATP,ATP250,Hard,3.41,0.4730490267276764,0.17979389476286706,0,-10.0
2022-01-12,ATP,ATP250,Hard,1.54,0.7138125538825989,0.06446190453194955,1,5.4
2022-01-12,ATP,ATP250,Hard,1.54,0.6987370133399964,0.04938636398934704,1,5.4
2022-01-12,ATP,ATP250,Hard,3.59,0.6098959445953369,0.3313444125619107,0,-10.0
2022-01-13,ATP,ATP250,Hard,2.78,0.3904233813285828,0.030711151112755408,0,-10.0
2022-01-13,ATP,ATP250,Hard,1.73,0.632597553730011,0.05456287164908613,1,7.3
2022-01-13,ATP,ATP250,Hard,2.09,0.541511619091034,0.0630427195695028,1,10.899999999999999
2022-01-13,ATP,ATP250,Hard,2.59,0.4835066139698029,0.09740622786941677,0,-10.0
2022-01-14,ATP,ATP250,Hard,2.07,0.7170723736286163,0.23398058618900275,0,-10.0
2022-01-14,ATP,ATP250,Hard,2.25,0.6159574508666992,0.17151300642225475,1,12.5
2022-01-15,ATP,ATP250,Hard,1.77,0.722068989276886,0.15709723786445662,1,7.7
2022-01-17,ATP,Grand Slam,Hard,3.2,0.4026352345943451,0.09013523459434508,1,22.0
2022-01-17,ATP,Grand Slam,Hard,3.64,0.3907962262630463,0.11607095153777158,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,3.19,0.4240934133529663,0.11061378952851486,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,2.58,0.46119899749755855,0.07360209827275238,1,15.8
2022-01-17,ATP,Grand Slam,Hard,1.55,0.6765618026256561,0.0314005123030755,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,3.33,0.3494389057159424,0.04913860541564208,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,3.81,0.3008206844329834,0.03835349283193351,0,-10.0
2022-01-17,ATP,Grand Slam,Hard,2.16,0.6201175212860107,0.1571545583230478,1,11.600000000000001
2022-01-17,ATP,Grand Slam,Hard,4.85,0.29535889625549316,0.08917332924518387,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,2.53,0.5118510782718658,0.11659416127581834,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,4.78,0.3761142730712891,0.166909252150787,1,37.800000000000004
2022-01-18,ATP,Grand Slam,Hard,2.08,0.6082897067070008,0.12752047593777005,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,1.64,0.6650777578353881,0.05532166027441254,1,6.399999999999999
2022-01-18,ATP,Grand Slam,Hard,1.46,0.7344323396682739,0.049500832818958895,1,4.6
2022-01-18,ATP,Grand Slam,Hard,2.88,0.5315710783004761,0.1843488560782539,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,3.25,0.45012768507003786,0.14243537737773015,1,22.5
2022-01-18,ATP,Grand Slam,Hard,2.6,0.6525329530239106,0.267917568408526,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,3.3,0.46842892169952394,0.1653986186692209,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,1.6,0.655995500087738,0.030995500087737993,1,6.000000000000001
2022-01-18,ATP,Grand Slam,Hard,2.21,0.509024155139923,0.05653546735711762,1,12.1
2022-01-18,ATP,Grand Slam,Hard,4.14,0.32052980661392216,0.07898391289411538,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,3.92,0.3310651063919068,0.07596306557558025,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,2.53,0.6174501895904541,0.22219327259440658,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,2.16,0.5072017788887024,0.04423881592573953,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,2.26,0.5517232537269592,0.10924537762076447,0,-10.0
2022-01-18,ATP,Grand Slam,Hard,2.61,0.4165954053401947,0.03345364288808739,0,-10.0
2022-01-19,ATP,Grand Slam,Hard,1.41,0.7791448950767517,0.06992503692072327,0,-10.0
2022-01-19,ATP,Grand Slam,Hard,3.35,0.3417568266391754,0.043249363952608255,0,-10.0
2022-01-19,ATP,Grand Slam,Hard,4.63,0.38415002822875977,0.16816730684647035,0,-10.0
2022-01-19,ATP,Grand Slam,Hard,4.04,0.3394343376159668,0.09190958514071929,0,-10.0
2022-01-19,ATP,Grand Slam,Hard,4.35,0.33557771444320683,0.10569265697194244,0,-10.0
2022-01-20,ATP,Grand Slam,Hard,1.64,0.7655898451805114,0.15583374761953583,1,6.399999999999999
2022-01-20,ATP,Grand Slam,Hard,3.23,0.3872695863246918,0.07767206310487751,0,-10.0
2022-01-20,ATP,Grand Slam,Hard,1.52,0.7016763001680374,0.04378156332593208,0,-10.0
2022-01-20,ATP,Grand Slam,Hard,3.24,0.36104809641838076,0.0524061211097388,0,-10.0
2022-01-20,ATP,Grand Slam,Hard,4.26,0.27635014057159424,0.04160835653403555,0,-10.0
2022-01-20,ATP,Grand Slam,Hard,4.08,0.37404532432556153,0.12894728510987527,0,-10.0
2022-01-20,ATP,Grand Slam,Hard,3.75,0.30773320198059084,0.04106653531392418,1,27.5
2022-01-20,ATP,Grand Slam,Hard,4.07,0.46842892169952394,0.22272867599927826,0,-10.0
2022-01-21,ATP,Grand Slam,Hard,2.22,0.7084732741117478,0.25802282366129736,1,12.200000000000003
2022-01-22,ATP,Grand Slam,Hard,1.84,0.6395931005477905,0.09611483967822532,1,8.4
2022-01-22,ATP,Grand Slam,Hard,3.55,0.44131103754043577,0.15962089669536533,1,25.5
2022-01-23,ATP,Grand Slam,Hard,1.23,0.8965160794556141,0.08350794937431327,0,-10.0
2022-01-24,ATP,Grand Slam,Hard,1.65,0.6474563896656036,0.041395783604997516,1,6.499999999999999
