cb_league_id,cb_name_en,cb_name_et,cb_country_slug,cb_full_slug,cb_country_canonical,af_db_league_id,af_name,af_country,af_matches_30d,af_bets_30d,match_score,confidence,review_note,country_restricted,debug
25240,Uzbekistani Cup,Uzbekistani Cup,uzbekistan,football/uzbekistan/uzbekistani-cup,Uzbekistan,1f74f5e5-d70f-47b3-bca6-b098282ffaea,Pro League A,Uzbekistan,14,0,0.231,low,AF has no Cup row for Uzbekistan; mapped to Pro League A as country fallback,yes,sim=0.23 tok=0.00 contain=0.00
20284,USL Premier Development League,USL Premier Development League,usa,football/usa/usl-premier-development-league,USA,80889736-4c77-4e02-adae-4bfd782c85bc,USL League Two,USA,113,3,1.000,high,,yes,manual override
47140,Ethiopian Premier League,Ethiopian Premier League,ethiopia,football/ethiopia/ethiopian-premier-league,Ethiopia,cbe6d173-9d8d-4d83-b2ce-16890babf6d0,Premier League,Ethiopia,50,1,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
55359,Ballon d'Or,,specials,football/specials/ballon-d'or,World,99aa3400-ee95-43c0-afde-089dca041978,Friendlies,World,11,1,1.000,high,"Ballon d'Or is an award, not a league; mapped to Friendlies as fallback — consider unmapped",yes,manual override
19715,Liga Profesional de Primera División,Liga Profesional de Primera División (Uruguay),uruguay,football/uruguay/liga-profesional-de-primera-division,Uruguay,ce7b2670-2ed8-4a35-9f31-1cfeae687a1a,Primera División - Apertura,Uruguay,24,11,1.000,high,,yes,manual override
20128,Premiership Promotion/Relegation,Premiership Edendamine/Taandamine,scotland,football/scotland/scottish-premiership-promotionrelegation,Scotland,3d4bc7a4-5b30-4eaf-973f-504090638f9f,Premiership,Scotland,33,39,1.000,high,,yes,manual override
19357,Cup,Cup (Bulgaria),bulgaria,football/bulgaria/bulgarian-cup,Bulgaria,aee1527d-d44d-41e1-a48e-e155ef87d89c,Cup,Bulgaria,3,0,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
72432,Brazil Copa Sul-Sudeste,Brazil Copa Sul-Sudeste,brazil,football/brazil/Brazil-Copa-Sul-Sudeste,Brazil,22e796dd-de07-427f-86c1-79d1dec08319,Copa Sul-Sudeste,Brazil,14,0,0.971,high,,yes,sim=0.82 tok=0.75 contain=0.15
37075,Copa do Nordeste de Futebol,Copa do Nordeste de Futebol,brazil,football/brazil/copa-do-nordeste-de-futebol,Brazil,5a0b1154-c37a-41fa-8340-a501708b7ebf,Copa do Nordeste,Brazil,16,1,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
20378,Brazilian Carioca 2,Brazilian Carioca 2,brazil,football/brazil/brazilian-carioca-2,Brazil,2b751aba-29eb-4ce5-bdd5-8537062aa40a,Serie B,Brazil,30,8,0.817,medium,AF has no Carioca 2; current pick (Serie B Brazil) is wrong — consider leaving unmapped,yes,sim=0.64 tok=0.67 contain=0.15
19880,CONCACAF Champions League,CONCACAF Champions League,americas,football/americas/concacaf-champions-league,World,8d31c7e0-da67-4d69-bc81-cd489c4064a7,CONCACAF Champions League,World,4,0,1.000,high,,yes,manual override
60184,Campeonato Nacional de Fútbol Femenino,,peru,football/peru/Campeonato-Nacional-de-Futbol-Femenino,Peru,6902384d-5da7-4a41-96bf-bf0543c7aaf2,Primera División,Peru,29,2,0.185,low,Peru women's league: AF has no women row for Peru; mapped to men's Primera División,yes,sim=0.19 tok=0.00 contain=0.00
19383,Primera División,Primera División (Peru),peru,football/peru/primera-division-peruana,Peru,6902384d-5da7-4a41-96bf-bf0543c7aaf2,Primera División,Peru,29,2,1.150,high,,yes,sim=1.00 tok=1.00 contain=0.15
