source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
winnerodds,2026-07-04,Australia,,,over_under_35,o3.5,1.600,lost,-1.0000,https://winnerodds.com
winnerodds,2026-07-01,Australia,,,1x2,2,1.300,won,0.3000,https://winnerodds.com
winnerodds,2026-06-29,Australia,,,over_under_35,o3.5,1.450,lost,-1.0000,https://winnerodds.com
winnerodds,2026-07-02,USA,,,asian_handicap,ah-0_2,1.200,lost,-1.0000,https://winnerodds.com
winnerodds,2026-07-03,Faroe Islands,,,over_under_35,o3.5,1.750,won,0.7500,https://winnerodds.com
winnerodds,2026-06-28,Norway,,,asian_handicap,ah-0.5_1,2.790,lost,-1.0000,https://winnerodds.com
winnerodds,2026-07-01,Mozambique,,,asian_handicap,ah-0_1,1.333,won,0.3330,https://winnerodds.com
winnerodds,2026-06-28,Australia,,,over_under_35,o3.5,2.070,lost,-1.0000,https://winnerodds.com
winnerodds,2026-07-02,Estonia,,,asian_handicap,ah-0_1,1.840,void,0.0000,https://winnerodds.com
winnerodds,2026-07-02,Kazakhstan,,,asian_handicap,ah-0_2,1.229,won,0.2290,https://winnerodds.com
winnerodds,2026-06-30,USA,,,1x2,2,1.350,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-30,Canada,,,asian_handicap,ah-0.5_1,2.550,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-29,Canada,,,asian_handicap,ah-0_1,1.222,won,0.2220,https://winnerodds.com
winnerodds,2026-06-29,Lithuania,,,asian_handicap,ah-0_2,1.170,won,0.1700,https://winnerodds.com
winnerodds,2026-06-29,Russia,,,asian_handicap,ah-0.5_1,1.370,won,0.3700,https://winnerodds.com
winnerodds,2026-06-29,Russia,,,asian_handicap,ah-0_1,1.330,won,0.3300,https://winnerodds.com
winnerodds,2026-07-01,Paraguay,,,asian_handicap,ah-0.5_1,2.500,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-29,Russia,,,asian_handicap,ah-0.5_1,1.570,won,0.5700,https://winnerodds.com
winnerodds,2026-06-30,Brazil,,,asian_handicap,ah-0_1,1.200,void,0.0000,https://winnerodds.com
winnerodds,2026-06-29,Finland,,,asian_handicap,ah-0_2,3.000,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-24,Argentina,,,asian_handicap,ah+0.5_2,1.550,won,0.5500,https://winnerodds.com
winnerodds,2026-06-27,Argentina,,,1x2,1,4.476,won,3.4760,https://winnerodds.com
winnerodds,2026-06-25,Latvia,,,asian_handicap,ah-0_2,1.320,won,0.3200,https://winnerodds.com
winnerodds,2026-06-27,Argentina,,,asian_handicap,ah-0_1,2.310,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-27,Norway,,,over_under_35,o3.5,1.520,won,0.5200,https://winnerodds.com
winnerodds,2026-06-26,Russia,,,asian_handicap,ah-0.5_1,2.220,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-28,Latvia,,,over_under_35,o3.5,2.300,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-27,Finland,,,asian_handicap,ah-0_2,2.750,void,0.0000,https://winnerodds.com
winnerodds,2026-06-27,Latvia,,,asian_handicap,ah-0_2,1.166,won,0.1660,https://winnerodds.com
winnerodds,2026-06-27,Norway,,,over_under_35,o3.5,1.630,won,0.6300,https://winnerodds.com
winnerodds,2026-06-23,Sweden,,,asian_handicap,ah-0_1,1.775,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-26,Russia,,,asian_handicap,ah-0.5_1,2.900,won,1.9000,https://winnerodds.com
winnerodds,2026-06-28,Zimbabwe,,,asian_handicap,ah-0_1,1.333,void,0.0000,https://winnerodds.com
winnerodds,2026-06-26,Norway,,,1x2,2,1.840,won,0.8400,https://winnerodds.com
winnerodds,2026-06-24,Paraguay,,,asian_handicap,ah-0_1,1.850,void,0.0000,https://winnerodds.com
winnerodds,2026-06-23,Sweden,,,asian_handicap,ah-0_1,1.357,won,0.3570,https://winnerodds.com
